집계년도,시군명,관리기관명,단속일시정보,단속장소,단속방법,데이터기준일자,위도,경도,행정동
2023,수원시,팔달구청,2023-09-04 10:46,화서1동 푸르지오자이 북문 CU 앞 횡단보도,고정형,2023-12-01,,,
2023,수원시,권선구청,2023-09-04 10:53,권선동 528-13,국민신문고,2023-12-01,,,
2023,수원시,팔달구청,2023-09-04 10:57,영동 영동 수원천로 246,주행형,2023-12-01,,,
2023,수원시,영통구청,2023-09-04 11:20,망포동 힐스테이트 119동 ~방죽공원 삼거리,고정형,2023-12-01,,,
2023,수원시,권선구청,2023-09-04 13:37,입북동 당수초교 정문 우측 사거리,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-09-04 13:49,화서1동 푸르지오자이 북문 CU 앞 횡단보도,고정형,2023-12-01,,,
2023,수원시,영통구청,2023-09-04 14:07,영통동 롯데마트 뒤,고정형,2023-12-01,37.27220279535416,127.10856729001851,
2023,수원시,팔달구청,2023-09-04 14:12,남수동 남수동 정조로800번길,주행형,2023-12-01,,,
2023,수원시,팔달구청,2023-09-04 14:12,남수동 남수동 정조로800번길,주행형,2023-12-01,,,
2023,수원시,팔달구청,2023-09-04 14:13,남수동 남수동 정조로800번길,주행형,2023-12-01,,,
2023,수원시,팔달구청,2023-09-04 14:14,팔달로2가 팔달로2가 정조로796번길,주행형,2023-12-01,,,
2023,수원시,팔달구청,2023-09-04 14:14,남수동 남수동 정조로796번길,주행형,2023-12-01,,,
2023,수원시,팔달구청,2023-09-04 14:14,남수동 남수동 정조로796번길,주행형,2023-12-01,,,
2023,수원시,팔달구청,2023-09-04 14:14,남수동 남수동 정조로796번길,주행형,2023-12-01,,,
2023,수원시,팔달구청,2023-09-04 14:14,남수동 남수동 정조로796번길,주행형,2023-12-01,,,
2023,수원시,팔달구청,2023-09-04 14:15,영동 영동 수원천로275,주행형,2023-12-01,,,
2023,수원시,팔달구청,2023-09-04 14:19,인계동 인계동 수원천로229번길,주행형,2023-12-01,,,
2023,수원시,팔달구청,2023-09-04 14:19,인계동 인계동 수원천로229번길,주행형,2023-12-01,,,
2023,수원시,팔달구청,2023-09-04 14:19,인계동 인계동 수원천로229번길,주행형,2023-12-01,,,
2023,수원시,팔달구청,2023-09-04 14:19,인계동 인계동 수원천로229번길,주행형,2023-12-01,,,
2023,수원시,팔달구청,2023-09-04 14:19,인계동 인계동 수원천로229번길,주행형,2023-12-01,,,
2023,수원시,팔달구청,2023-09-04 14:33,매산동 팔달로 10번길 8,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-09-04 14:33,매산동 팔달로 10번길 8,고정형,2023-12-01,,,
2023,수원시,권선구청,2023-09-04 14:45,곡반정동 하나로마트한국빌딩앞,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-09-04 14:52,인계동 경인통계청,고정형,2023-12-01,,,
2023,수원시,권선구청,2023-09-04 15:03,입북동 당수초교 정문 우측 사거리,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-09-04 15:04,경기도수원시팔달구매산로2가 수원시 팔달구 매산로2가 62-53,보행,2023-12-01,,,
2023,수원시,팔달구청,2023-09-04 15:04,경기도수원시팔달구매산로2가 수원시 팔달구 매산로2가 62-53,보행,2023-12-01,,,
2023,수원시,팔달구청,2023-09-04 15:05,경기도수원시팔달구매산로2가 수원시 팔달구 매산로2가 62-53,보행,2023-12-01,,,
2023,수원시,팔달구청,2023-09-04 15:05,경기도수원시팔달구매산로2가 수원시 팔달구 매산로2가 62-53,보행,2023-12-01,,,
2023,수원시,팔달구청,2023-09-04 15:06,경기도수원시팔달구매산로2가 수원시 팔달구 매산로2가 62-53,보행,2023-12-01,,,
2023,수원시,팔달구청,2023-09-04 15:15,화서동 화서동 팔달로99번길,주행형,2023-12-01,,,
2023,수원시,팔달구청,2023-09-04 15:36,행궁동 화홍사랑채,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-09-04 15:48,인계동 드림캐슬주상복합,고정형,2023-12-01,,,
2023,수원시,권선구청,2023-09-04 15:50,오목천동 527-57,국민신문고,2023-12-01,,,
2023,수원시,팔달구청,2023-09-04 16:05,매산동 팅스몰 주차장 출구 옆,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-09-04 16:09,인계동 경인통계청,고정형,2023-12-01,,,
