집계년도,시군명,관리기관명,단속일시정보,단속장소,단속방법,데이터기준일자,위도,경도,행정동
2023,수원시,영통구청,2023-03-22 10:21,원천동 광교중앙로37번길,주행형,2023-12-01,37.2786338506606,127.050770458473,원천동
2023,수원시,영통구청,2023-03-22 10:21,원천동 광교중앙로37번길,주행형,2023-12-01,37.2786338506606,127.050770458473,원천동
2023,수원시,권선구청,2023-03-22 10:21,고색동 산업로155번길,주행형,2023-12-01,37.2459670882566,126.985437558551,평동
2023,수원시,영통구청,2023-03-22 10:21,원천동 광교중앙로37번길,주행형,2023-12-01,37.2786338506606,127.050770458473,원천동
2023,수원시,권선구청,2023-03-22 10:21,고색동 산업로155번길,주행형,2023-12-01,37.2459670882566,126.985437558551,평동
2023,수원시,영통구청,2023-03-22 10:21,원천동 광교중앙로37번길,주행형,2023-12-01,37.2786338506606,127.050770458473,원천동
2023,수원시,영통구청,2023-03-22 10:21,원천동 광교중앙로37번길,주행형,2023-12-01,37.2786338506606,127.050770458473,원천동
2023,수원시,영통구청,2023-03-22 10:21,원천동 광교중앙로37번길,주행형,2023-12-01,37.2786338506606,127.050770458473,원천동
2023,수원시,권선구청,2023-03-22 10:21,고색동 산업로155번길,주행형,2023-12-01,37.2459670882566,126.985437558551,평동
2023,수원시,영통구청,2023-03-22 10:21,원천동 광교중앙로37번길,주행형,2023-12-01,37.2786338506606,127.050770458473,원천동
2023,수원시,영통구청,2023-03-22 10:21,원천동 광교중앙로37번길,주행형,2023-12-01,37.2786338506606,127.050770458473,원천동
2023,수원시,영통구청,2023-03-22 10:22,원천동 광교중앙로37번길,주행형,2023-12-01,37.2786338506606,127.050770458473,원천동
2023,수원시,영통구청,2023-03-22 10:22,원천동 광교중앙로37번길,주행형,2023-12-01,37.2786338506606,127.050770458473,원천동
2023,수원시,영통구청,2023-03-22 10:22,원천동 광교중앙로37번길,주행형,2023-12-01,37.2786338506606,127.050770458473,원천동
2023,수원시,팔달구청,2023-03-22 10:23,인계동 교촌치킨 삼거리,고정형,2023-12-01,37.26583205101048,127.01197846611919,세류3동
2023,수원시,권선구청,2023-03-22 10:23,고색동 산업로155번길,주행형,2023-12-01,37.2459670882566,126.985437558551,평동
2023,수원시,권선구청,2023-03-22 10:23,고색동 산업로155번길,주행형,2023-12-01,37.2459670882566,126.985437558551,평동
2023,수원시,권선구청,2023-03-22 10:23,고색동 산업로,주행형,2023-12-01,37.2409168274724,126.977440451072,평동
2023,수원시,권선구청,2023-03-22 10:23,고색동 산업로,주행형,2023-12-01,37.2409168274724,126.977440451072,평동
2023,수원시,권선구청,2023-03-22 10:24,고색동 산업로,주행형,2023-12-01,37.2409168274724,126.977440451072,평동
2023,수원시,영통구청,2023-03-22 10:24,원천동 광교 한화오피스텔 앞,고정형,2023-12-01,37.2844597285101,127.05870048776214,광교2동
2023,수원시,권선구청,2023-03-22 10:25,고색동 산업로155번길,주행형,2023-12-01,37.2459670882566,126.985437558551,평동
2023,수원시,영통구청,2023-03-22 10:25,하동 광교 효성해링턴 입구,고정형,2023-12-01,37.288180038800085,127.06064305300441,광교2동
