집계년도,시군명,관리기관명,단속일시정보,단속장소,단속방법,데이터기준일자,위도,경도,행정동
2023,수원시,팔달구청,2023-03-22 10:27,인계동 드림캐슬주상복합,고정형,2023-12-01,,,
2023,수원시,영통구청,2023-03-22 10:30,망포동 영통로27번길,주행형,2023-12-01,,,
2023,수원시,영통구청,2023-03-22 10:30,망포동 영통로27번길,주행형,2023-12-01,,,
2023,수원시,영통구청,2023-03-22 10:30,망포동 영통로27번길,주행형,2023-12-01,,,
2023,수원시,영통구청,2023-03-22 10:30,망포동 영통로27번길,주행형,2023-12-01,,,
2023,수원시,팔달구청,2023-03-22 10:41,장안동 장안동 화서문로17번길,주행형,2023-12-01,,,
2023,수원시,팔달구청,2023-03-22 10:41,장안동 장안동 화서문로17번길,주행형,2023-12-01,,,
2023,수원시,팔달구청,2023-03-22 10:41,장안동 장안동 화서문로17번길,주행형,2023-12-01,,,
2023,수원시,영통구청,2023-03-22 10:56,망포동 힐스테이트 119동 ~방죽공원 삼거리,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-03-22 12:21,행궁동 팔달문 버스정류장,고정형,2023-12-01,,,
2023,수원시,권선구청,2023-03-22 12:32,금곡동 가온초교 정문 우측 사거리,고정형,2023-12-01,,,
2023,수원시,영통구청,2023-03-22 13:16,이의동 광교가재울마을사거리,고정형,2023-12-01,,,
2023,수원시,영통구청,2023-03-22 13:41,광교동 광교웰빙타운한양수자인,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-03-22 14:17,장안동 장안동 화서문로17번길,주행형,2023-12-01,,,
2023,수원시,팔달구청,2023-03-22 14:17,장안동 장안동 화서문로17번길,주행형,2023-12-01,,,
2023,수원시,팔달구청,2023-03-22 14:17,장안동 장안동 화서문로17번길,주행형,2023-12-01,,,
2023,수원시,팔달구청,2023-03-22 14:17,장안동 장안동 화서문로17번길,주행형,2023-12-01,,,
2023,수원시,팔달구청,2023-03-22 14:23,영동 영동 팔달문로275,주행형,2023-12-01,,,
2023,수원시,팔달구청,2023-03-22 14:23,영동 영동 수원천로275,주행형,2023-12-01,,,
2023,수원시,팔달구청,2023-03-22 14:33,중동 수원교회,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-03-22 14:35,매산동 팅스몰 주차장 출구 옆,고정형,2023-12-01,,,
2023,수원시,권선구청,2023-03-22 14:36,평동 고현초교 정문 좌측 삼거리,고정형,2023-12-01,,,
2023,수원시,영통구청,2023-03-22 14:50,망포동 E-마트 에브리데이 앞,고정형,2023-12-01,37.2361017468141,127.060345496536,
2023,수원시,권선구청,2023-03-22 14:55,세류3동 신곡초교 후문 좌측 사거리,고정형,2023-12-01,,,
2023,수원시,권선구청,2023-03-22 15:02,금곡동 수원문산고속도로,주행형,2023-12-01,,,
2023,수원시,팔달구청,2023-03-22 15:06,인계동 한국씨티은행,고정형,2023-12-01,,,
2023,수원시,권선구청,2023-03-22 15:09,호매실동 금호프라자 대각 맞은편,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-03-22 15:11,화서1동 수원역푸르지오자이 북문 우측,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-03-22 15:14,매산동 팅스몰 주차장 출구 옆,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-03-22 15:15,인계동 경인통계청,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-03-22 15:23,경기도수원시팔달구매교동 수원시 팔달구 고화로39번길 13,보행,2023-12-01,,,
2023,수원시,팔달구청,2023-03-22 15:33,매산동 팅스몰 주차장 출구 옆,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-03-22 15:41,인계동 드림캐슬주상복합,고정형,2023-12-01,,,
2023,수원시,영통구청,2023-03-22 15:43,이의동 광교가재울마을사거리,고정형,2023-12-01,,,
2023,수원시,영통구청,2023-03-22 15:47,광교동 광교이의119안전센터,고정형,2023-12-01,,,
2023,수원시,영통구청,2023-03-22 15:47,광교동 광교이의119안전센터,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-03-22 16:44,인계동 경인통계청,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-03-22 16:45,인계동 드림캐슬주상복합,고정형,2023-12-01,,,
2023,수원시,권선구청,2023-03-22 16:47,권선동 권선동 한라비발디앞 놀이터,고정형,2023-12-01,,,
2023,수원시,영통구청,2023-03-22 16:47,광교동 광교이의119안전센터,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-03-22 17:06,인계동 한국씨티은행,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-03-22 17:10,매산동 팅스몰 주차장 출구 옆,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-03-22 17:18,인계동 드림캐슬주상복합,고정형,2023-12-01,,,
