집계년도,시군명,관리기관명,단속일시정보,단속장소,단속방법,데이터기준일자,위도,경도,행정동
2023,수원시,영통구청,2023-06-15 10:08,망포동 E-마트 에브리데이 앞,고정형,2023-12-01,37.2361017468141,127.060345496536,
2023,수원시,영통구청,2023-06-15 10:18,이의동 창룡대로298번길,주행형,2023-12-01,,,
2023,수원시,영통구청,2023-06-15 10:18,이의동 창룡대로298번길,주행형,2023-12-01,,,
2023,수원시,영통구청,2023-06-15 10:18,이의동 창룡대로298번길,주행형,2023-12-01,,,
2023,수원시,팔달구청,2023-06-15 10:22,인계동 경인통계청,고정형,2023-12-01,,,
2023,수원시,권선구청,2023-06-15 10:30,입북동 당수초교 정문 우측 사거리,고정형,2023-12-01,,,
2023,수원시,영통구청,2023-06-15 10:38,이의동 부함식당 앞,고정형,2023-12-01,,,
2023,수원시,권선구청,2023-06-15 11:02,입북동 당수초교 정문 우측 사거리,고정형,2023-12-01,,,
2023,수원시,권선구청,2023-06-15 11:02,입북동 당수초교 정문 우측 사거리,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-06-15 11:06,경기도수원시팔달구매산로2가 수원시 팔달구 팔달로149,보행,2023-12-01,,,
2023,수원시,권선구청,2023-06-15 12:49,고색동 도이치 고객주차장 출입구,고정형,2023-12-01,,,
2023,수원시,영통구청,2023-06-15 13:09,광교동 광교이의119안전센터,고정형,2023-12-01,,,
2023,수원시,영통구청,2023-06-15 13:37,광교동 광교웰빙타운한양수자인,고정형,2023-12-01,,,
2023,수원시,영통구청,2023-06-15 13:58,-1 영통동 1030-6,국민신문고,2023-12-01,,,
2023,수원시,팔달구청,2023-06-15 14:16,남수동 남수동 정조로800번길,주행형,2023-12-01,,,
2023,수원시,팔달구청,2023-06-15 14:16,남수동 남수동 정조로800번길,주행형,2023-12-01,,,
2023,수원시,팔달구청,2023-06-15 14:16,남수동 남수동 정조로800번길,주행형,2023-12-01,,,
2023,수원시,팔달구청,2023-06-15 14:16,남수동 남수동 정조로800번길,주행형,2023-12-01,,,
2023,수원시,팔달구청,2023-06-15 14:16,남수동 남수동 정조로800번길,주행형,2023-12-01,,,
2023,수원시,팔달구청,2023-06-15 14:21,인계동 인계동 수원천로231번길,주행형,2023-12-01,,,
2023,수원시,팔달구청,2023-06-15 14:21,인계동 인계동 수원천로231번길,주행형,2023-12-01,,,
2023,수원시,팔달구청,2023-06-15 14:22,경기도수원시팔달구화서동 수원시 팔달구 중동 38-3,보행,2023-12-01,,,
2023,수원시,팔달구청,2023-06-15 14:22,경기도수원시팔달구화서동 수원시 팔달구 중동 38-3,보행,2023-12-01,,,
2023,수원시,영통구청,2023-06-15 14:23,경기도수원시영통구원천동 수원시 영통구 원천동 27,보행,2023-12-01,,,
2023,수원시,권선구청,2023-06-15 14:33,세류3동 신곡초교 후문 좌측 사거리,고정형,2023-12-01,,,
2023,수원시,권선구청,2023-06-15 14:34,세류3동 신곡초교 후문 좌측 사거리,고정형,2023-12-01,,,
2023,수원시,권선구청,2023-06-15 14:35,서둔동 가온팰리스옆2,고정형,2023-12-01,,,
2023,수원시,장안구청,2023-06-15 14:35,정자3동 정자동 오일뱅크,고정형,2023-12-01,,,
2023,수원시,권선구청,2023-06-15 14:35,서둔동 가온팰리스옆1,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-06-15 14:43,매산동 팅스몰 주차장 출구 옆,고정형,2023-12-01,,,
2023,수원시,권선구청,2023-06-15 14:46,입북동 당수초교 정문 우측 사거리,고정형,2023-12-01,,,
2023,수원시,권선구청,2023-06-15 15:00,평동 수원역고가밑 (애경뒷길),고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-06-15 15:00,인계동 드림캐슬주상복합,고정형,2023-12-01,,,
2023,수원시,권선구청,2023-06-15 15:10,구운동 구운초교 정문 우측 삼거리,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-06-15 15:12,매산동 팅스몰 주차장 출구 옆,고정형,2023-12-01,,,
2023,수원시,권선구청,2023-06-15 15:28,서둔동 가온팰리스옆2,고정형,2023-12-01,,,
2023,수원시,권선구청,2023-06-15 15:31,서둔동 가온팰리스옆2,고정형,2023-12-01,,,
2023,수원시,영통구청,2023-06-15 15:43,원천동 광교아이파크올웨이즈앞,고정형,2023-12-01,,,
2023,수원시,권선구청,2023-06-15 16:19,곡선동 휴먼푸드 인근,고정형,2023-12-01,,,
2023,수원시,영통구청,2023-06-15 16:19,이의동 드림스퀘어Ⅱ 앞,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-06-15 16:21,매산동 팅스몰 주차장 출구 옆,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-06-15 16:21,매산동 팅스몰 주차장 출구 옆,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-06-15 16:33,인계동 경인통계청,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-06-15 16:34,매산동 팅스몰 주차장 출구 옆,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-06-15 16:47,매산동 역전농협,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-06-15 16:51,인계동 드림캐슬주상복합,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-06-15 16:51,인계동 드림캐슬주상복합,고정형,2023-12-01,,,
2023,수원시,권선구청,2023-06-15 16:57,서둔동 가온팰리스옆2,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-06-15 17:05,팔달로2가 팔달로3가 73-2 인도,국민신문고,2023-12-01,,,
2023,수원시,권선구청,2023-06-15 17:20,평동 수원역고가밑 (애경뒷길),고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-06-15 17:29,인계동 경인통계청,고정형,2023-12-01,,,
2023,수원시,장안구청,2023-06-15 17:29,상광교동 광교버스정류장종점,고정형,2023-12-01,,,
2023,수원시,영통구청,2023-06-15 18:11,하동 광교호반마을한양수자인,고정형,2023-12-01,,,
2023,수원시,영통구청,2023-06-15 18:11,하동 광교호반마을한양수자인,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-06-15 18:58,매산동 팅스몰 주차장 출구 옆,고정형,2023-12-01,,,
2023,수원시,권선구청,2023-06-15 18:59,오목천동 527-5,국민신문고,2023-12-01,,,
2023,수원시,팔달구청,2023-06-15 19:02,인계동 드림캐슬주상복합,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-06-15 19:04,인계동 드림캐슬주상복합,고정형,2023-12-01,,,
2023,수원시,권선구청,2023-06-15 19:40,경기도수원시권선구오목천동 수원시 권선구 오목천동 248-7,보행,2023-12-01,,,
2023,수원시,팔달구청,2023-06-15 19:47,매산동 팅스몰 주차장 출구 옆,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-06-15 20:17,매산동 역전농협,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-06-15 20:26,화서1동 푸르지오자이 북문 CU 앞 횡단보도,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-06-15 20:59,인계동 드림캐슬주상복합,고정형,2023-12-01,,,
2023,수원시,권선구청,2023-06-15 21:06,오목천동 472-13,국민신문고,2023-12-01,,,
2023,수원시,팔달구청,2023-06-15 21:31,화서1동 수원역푸르지오자이 북문 우측,고정형,2023-12-01,,,
2023,수원시,권선구청,2023-06-15 21:49,곡반정동 562-2,국민신문고,2023-12-01,,,
2023,수원시,팔달구청,2023-06-16 0:16,매교동 매교동 287-484 횡단보도,국민신문고,2023-12-01,,,
2023,수원시,권선구청,2023-06-16 0:29,곡반정동 1119,국민신문고,2023-12-01,,,
2023,수원시,팔달구청,2023-06-16 6:59,매교동 매교동 287-480 횡단보도,국민신문고,2023-12-01,,,
2023,수원시,팔달구청,2023-06-16 7:03,화서1동 푸르지오자이 북문 CU 앞 횡단보도,고정형,2023-12-01,,,
2023,수원시,영통구청,2023-06-16 7:06,영통동 보보스스포츠센터앞,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-06-16 7:35,매산동 팅스몰 주차장 출구 옆,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-06-16 7:35,인계동 드림캐슬주상복합,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-06-16 7:55,인계동 드림캐슬주상복합,고정형,2023-12-01,,,
2023,수원시,권선구청,2023-06-16 8:02,곡반정동 하나로마트한국빌딩앞,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-06-16 8:03,북수동 쌈지공원 앞,고정형,2023-12-01,,,
2023,수원시,권선구청,2023-06-16 8:04,서둔동 가온팰리스옆2,고정형,2023-12-01,,,
2023,수원시,권선구청,2023-06-16 8:04,곡반정동 하나로마트한국빌딩앞,고정형,2023-12-01,,,
2023,수원시,권선구청,2023-06-16 8:11,서둔동 가온팰리스옆1,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-06-16 9:05,매산동 팅스몰 주차장 출구 옆,고정형,2023-12-01,,,
2023,수원시,권선구청,2023-06-16 9:29,권선동 NC터미널점 버스정류장 앞,고정형,2023-12-01,,,
2023,수원시,권선구청,2023-06-16 9:29,권선동 NC터미널점 버스정류장 앞,고정형,2023-12-01,,,
2023,수원시,권선구청,2023-06-16 9:32,세류3동 신곡초교 후문 좌측 사거리,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-06-16 9:39,인계동 드림캐슬주상복합,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-06-16 9:39,인계동 드림캐슬주상복합,고정형,2023-12-01,,,
2023,수원시,권선구청,2023-06-16 9:40,곡반정동 562-2,국민신문고,2023-12-01,,,
2023,수원시,팔달구청,2023-06-16 9:56,매산동 팅스몰 주차장 출구 옆,고정형,2023-12-01,,,
2023,수원시,영통구청,2023-06-16 10:01,하동 광교호반마을한양수자인,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-06-16 10:01,인계동 드림캐슬주상복합,고정형,2023-12-01,,,
2023,수원시,권선구청,2023-06-16 10:10,권선동 NC터미널점 버스정류장 앞,고정형,2023-12-01,,,
2023,수원시,권선구청,2023-06-16 10:11,곡반정동 하나로마트한국빌딩앞,고정형,2023-12-01,,,
2023,수원시,권선구청,2023-06-16 10:16,호매실동 금호프라자 대각 맞은편,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-06-16 10:16,인계동 드림캐슬주상복합,고정형,2023-12-01,,,
2023,수원시,영통구청,2023-06-16 10:17,이의동 광교호반베르디움 103동 앞,고정형,2023-12-01,,,
2023,수원시,영통구청,2023-06-16 10:19,원천동 광교에일린의뜰 북측,고정형,2023-12-01,,,
