집계년도,시군명,관리기관명,단속일시정보,단속장소,단속방법,데이터기준일자,위도,경도,행정동
2023,수원시,장안구청,2023-09-27 14:28,조원동 조원동 802,국민신문고,2023-12-01,37.3009633180835,127.014978859974,조원1동
2023,수원시,팔달구청,2023-09-27 14:30,인계동 수원시청역 7번출구,고정형,2023-12-01,37.26626759971902,127.01658392951565,매교동
2023,수원시,권선구청,2023-09-27 14:30,금곡동 46-2,국민신문고,2023-12-01,37.2772658732993,126.955450056104,금곡동
2023,수원시,권선구청,2023-09-27 14:32,평동 평동 4-11 SK V1 Motors(평동어린이집 부근),고정형,2023-12-01,37.2588953526046,126.993493893911,평동
2023,수원시,팔달구청,2023-09-27 14:33,신풍동 행궁동주민센터,고정형,2023-12-01,37.2840915641066,127.012674868847,행궁동
2023,수원시,팔달구청,2023-09-27 14:33,인계동 국민연금관리공단,고정형,2023-12-01,37.261834830550875,127.03545438531397,인계동
2023,수원시,권선구청,2023-09-27 14:33,호매실동 아진스퀘어 앞 삼거리,고정형,2023-12-01,37.25874959648229,126.9643328776692,호매실동
2023,수원시,팔달구청,2023-09-27 14:33,인계동 삼성화재,고정형,2023-12-01,37.26585414913238,127.03313949269288,인계동
2023,수원시,장안구청,2023-09-27 14:33,천천동 천천동538,국민신문고,2023-12-01,37.2968821592053,126.982384476136,정자3동
2023,수원시,팔달구청,2023-09-27 14:34,인계동 시청 서문,고정형,2023-12-01,37.263584678785,127.028715898311,인계동
2023,수원시,팔달구청,2023-09-27 14:35,행궁동 송산주차장,고정형,2023-12-01,37.2753114484382,127.015862041268,행궁동
2023,수원시,팔달구청,2023-09-27 14:35,인계동 시드니볼링장 맞은편,고정형,2023-12-01,37.2626708816897,127.035840326767,인계동
2023,수원시,팔달구청,2023-09-27 14:35,인계동 무비사거리,고정형,2023-12-01,37.264141062247276,127.03055596075598,인계동
2023,수원시,권선구청,2023-09-27 14:35,구운동 917,국민신문고,2023-12-01,37.2822548459167,126.97388409016,구운동
2023,수원시,팔달구청,2023-09-27 14:37,인계동 Naan 삼거리,고정형,2023-12-01,37.2643470508661,127.035070004879,인계동
2023,수원시,권선구청,2023-09-27 14:37,곡반정동 성일문구도소매앞,고정형,2023-12-01,37.2382323283469,127.030987273689,곡선동
2023,수원시,팔달구청,2023-09-27 14:37,인계동 Naan 삼거리,고정형,2023-12-01,37.2643470508661,127.035070004879,인계동
2023,수원시,권선구청,2023-09-27 14:37,곡반정동 송탄부대찌개앞,고정형,2023-12-01,37.2418719946422,127.033053479012,곡선동
2023,수원시,팔달구청,2023-09-27 14:37,인계동 인계동 1031-4 사거리,고정형,2023-12-01,37.2649777536104,127.029914034816,인계동
2023,수원시,팔달구청,2023-09-27 14:37,인계동 인계동 1031-4 사거리,고정형,2023-12-01,37.2649777536104,127.029914034816,인계동
2023,수원시,권선구청,2023-09-27 14:38,곡반정동 성일문구도소매앞,고정형,2023-12-01,37.2382323283469,127.030987273689,곡선동
2023,수원시,팔달구청,2023-09-27 14:38,인계동 무비사거리,고정형,2023-12-01,37.264141062247276,127.03055596075598,인계동
2023,수원시,팔달구청,2023-09-27 14:39,매산동 덕영대로 895번길 9-14,고정형,2023-12-01,37.2694715135017,127.000074974714,매산동
2023,수원시,장안구청,2023-09-27 14:39,천천동 하률로56번길,주행형,2023-12-01,37.3026425606383,126.980013004358,정자3동
2023,수원시,팔달구청,2023-09-27 14:39,인계동 탐앤탐스 사거리,고정형,2023-12-01,37.266656725513336,127.03073285116511,인계동
2023,수원시,팔달구청,2023-09-27 14:39,매산동 KCC파크타운 정문 옆,고정형,2023-12-01,37.27013837274692,127.00925635834406,매산동
2023,수원시,팔달구청,2023-09-27 14:40,인계동 CU 사거리,고정형,2023-12-01,37.27779784904563,127.03166987503481,인계동
2023,수원시,권선구청,2023-09-27 14:42,금곡동 근린공원부근,고정형,2023-12-01,37.27273922967409,126.95642709856006,금곡동
2023,수원시,팔달구청,2023-09-27 14:42,인계동 CJ아파트 오거리,고정형,2023-12-01,37.27657771101308,127.02864190490499,인계동
2023,수원시,영통구청,2023-09-27 14:43,이의동 센트럴타운로,주행형,2023-12-01,37.2900239743999,127.053431696605,광교1동
2023,수원시,영통구청,2023-09-27 14:43,이의동 센트럴타운로,주행형,2023-12-01,37.2900239743999,127.053431696605,광교1동
2023,수원시,영통구청,2023-09-27 14:43,이의동 센트럴타운로,주행형,2023-12-01,37.2900239743999,127.053431696605,광교1동
2023,수원시,영통구청,2023-09-27 14:43,이의동 센트럴타운로,주행형,2023-12-01,37.2900239743999,127.053431696605,광교1동
2023,수원시,영통구청,2023-09-27 14:43,이의동 센트럴타운로,주행형,2023-12-01,37.2900239743999,127.053431696605,광교1동
2023,수원시,영통구청,2023-09-27 14:44,이의동 센트럴타운로,주행형,2023-12-01,37.2900239743999,127.053431696605,광교1동
2023,수원시,영통구청,2023-09-27 14:44,이의동 센트럴타운로,주행형,2023-12-01,37.2900239743999,127.053431696605,광교1동
2023,수원시,영통구청,2023-09-27 14:44,이의동 센트럴타운로,주행형,2023-12-01,37.2900239743999,127.053431696605,광교1동
2023,수원시,영통구청,2023-09-27 14:44,이의동 센트럴타운로,주행형,2023-12-01,37.2900239743999,127.053431696605,광교1동
2023,수원시,영통구청,2023-09-27 14:44,이의동 센트럴타운로,주행형,2023-12-01,37.2900239743999,127.053431696605,광교1동
2023,수원시,영통구청,2023-09-27 14:44,이의동 센트럴타운로,주행형,2023-12-01,37.2900239743999,127.053431696605,광교1동
2023,수원시,영통구청,2023-09-27 14:44,이의동 센트럴타운로,주행형,2023-12-01,37.2900239743999,127.053431696605,광교1동
2023,수원시,영통구청,2023-09-27 14:44,이의동 센트럴타운로,주행형,2023-12-01,37.2900239743999,127.053431696605,광교1동
