거주자우선주차구획번호,거주자우선주차구획위도,거주자우선주차구획경도,거주자우선주차구역명,소재지지번주소,운영형태,사용시간대정보,사용기간,이용요금,이용요금결제방법,이용요금환불안내정보,정기접수시작일자,정기접수종료일자,신청방법,신청서류,관리기관전화번호,관리기관명,데이터기준일자,행정동
76-31,37.2491,127.077,1017공원주차장(31),영통동 1015-7,야간,18:00~익일09:00,분기별,20000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,영통3동
76-32,37.2491,127.077,1017공원주차장(31),영통동 1015-7,야간,18:00~익일09:00,분기별,20000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,영통3동
76-33,37.2492,127.077,1017공원주차장(31),영통동 1015-8,야간,18:00~익일09:00,분기별,20000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,영통3동
76-34,37.2492,127.077,1017공원주차장(31),영통동 1015-8,야간,18:00~익일09:00,분기별,20000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,영통3동
76-35,37.2493,127.077,1017공원주차장(31),영통동 1015-8,야간,18:00~익일09:00,분기별,20000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,영통3동
76-36,37.2493,127.077,1017공원주차장(31),영통동 1015-8,야간,18:00~익일09:00,분기별,20000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,영통3동
76-57,37.249,127.077,1017공원주차장(31),영통동 1018-1,야간,18:00~익일09:00,분기별,20000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,영통3동
76-51,37.249,127.077,1017공원주차장(31),영통동 1018-4,야간,18:00~익일09:00,분기별,20000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,영통3동
76-52,37.249,127.077,1017공원주차장(31),영통동 1018-3,야간,18:00~익일09:00,분기별,20000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,영통3동
76-53,37.249,127.077,1017공원주차장(31),영통동 1018-3,야간,18:00~익일09:00,분기별,20000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,영통3동
76-54,37.249,127.077,1017공원주차장(31),영통동 1018-2,야간,18:00~익일09:00,분기별,20000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,영통3동
76-55,37.249,127.077,1017공원주차장(31),영통동 1018-2,야간,18:00~익일09:00,분기별,20000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,영통3동
76-56,37.249,127.077,1017공원주차장(31),영통동 1018-1,야간,18:00~익일09:00,분기별,20000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,영통3동
76-43,37.2493,127.077,1017공원주차장(31),영통동 1014-11,야간,18:00~익일09:00,분기별,20000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,영통3동
76-44,37.2493,127.077,1017공원주차장(31),영통동 1014-11,야간,18:00~익일09:00,분기별,20000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,영통3동
76-45,37.2493,127.078,1017공원주차장(31),영통동 1018-9,야간,18:00~익일09:00,분기별,20000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,영통3동
76-48,37.2491,127.078,1017공원주차장(31),영통동 1018-8,야간,18:00~익일09:00,분기별,20000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,영통3동
76-49,37.249,127.078,1017공원주차장(31),영통동 1018-7,야간,18:00~익일09:00,분기별,20000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,영통3동
76-50,37.249,127.077,1017공원주차장(31),영통동 1018-4,야간,18:00~익일09:00,분기별,20000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,영통3동
76-37,37.2494,127.077,1017공원주차장(31),영통동 1014-14,야간,18:00~익일09:00,분기별,20000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,영통3동
76-38,37.2495,127.077,1017공원주차장(31),영통동 1014-14,야간,18:00~익일09:00,분기별,20000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,영통3동
76-39,37.2494,127.077,1017공원주차장(31),영통동 1014-13,야간,18:00~익일09:00,분기별,20000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,영통3동
76-40,37.2494,127.077,1017공원주차장(31),영통동 1014-13,야간,18:00~익일09:00,분기별,20000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,영통3동
76-41,37.2494,127.077,1017공원주차장(31),영통동 1014-12,야간,18:00~익일09:00,분기별,20000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,영통3동
76-42,37.2494,127.077,1017공원주차장(31),영통동 1014-12,야간,18:00~익일09:00,분기별,20000.0,가상계좌+신용카드+지로+계좌이체,환불신청서+통장사본,2023-01-01,2023-12-31,인터넷+방문,신청서+차량등록증+등본+감면증빙서류,031-238-0560,수원도시공사,2023-12-05,영통3동
