,대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),주차면수합,옥외자주식대수(대),옥외자주식면적(㎡),변환_행정동
4,경기도 수원시 영통구 매탄동 1-5번지,41117,10100,0,1,5,1.08E+13,2,집합,3,표제부,경기도 수원시 영통구 중부대로 390 (매탄동),,,,,1,4.11E+11,10101,0,390,0,,0,주건축물,2743,1501.54,54.74,9301.72,4921.04,179.4,21,철근콘크리트구조,철근콘크리트구조,5000,문화및집회시설,"문화및집회시설(전시장),판매시설(상점)",10,(철근)콘크리트,(철근)콘크리트,0,0,21.5,4,2,3,0,0,0,9301.72,0,0,0,0,82,82,0,0,매탄2동
8,경기도 수원시 영통구 매탄동 50-3번지,41117,10100,0,50,3,1.08E+13,1,일반,2,일반건축물,경기도 수원시 영통구 산남로80번길 40 (매탄동),이산 패밀리타운 105동,,,,1,4.11E+11,10101,0,40,0,,0,주건축물,289.2,172.97,59.81,576,576,199.17,21,철근콘크리트구조,철근콘크리트구조,1000,단독주택,"단독주택(다가구주택),근린생활시설",10,(철근)콘크리트,(철근)콘크리트,0,9,17,5,0,1,0,0,0,576,0,0,0,0,10,10,0,0,매탄2동
9,경기도 수원시 영통구 매탄동 50-5번지,41117,10100,0,50,5,10841236995,1,일반,2,일반건축물,경기도 수원시 영통구 산남로80번길 42 (매탄동),,,,,0,4.11E+11,10101,0,42,0,,0,주건축물,317,174.41,55.02,659.66,497.13,156.82,21,철근콘크리트구조,철근콘크리트구조,1000,단독주택,단독주택,10,(철근)콘크리트,(철근)콘크리트,0,19,10.45,3,1,0,0,0,0,659.66,0,0,0,0,0,6,6,70,매탄2동
10,경기도 수원시 영통구 매탄동 50-7번지,41117,10100,0,50,7,10841236996,1,일반,2,일반건축물,경기도 수원시 영통구 산남로80번길 44 (매탄동),,,,,0,4.11E+11,10101,0,44,0,,0,주건축물,344,156.69,45.55,587.03,450.09,130.84,21,철근콘크리트구조,철근콘크리트구조,1000,단독주택,단독주택,10,(철근)콘크리트,(철근)콘크리트,0,19,10.45,3,1,0,0,0,0,587.03,0,0,0,0,0,5,5,57.5,매탄2동
11,경기도 수원시 영통구 매탄동 50-8번지,41117,10100,0,50,8,1.08E+13,1,일반,2,일반건축물,경기도 수원시 영통구 산남로80번길 38 (매탄동),이산 패밀리타운 106동,,,,0,4.11E+11,10101,0,38,,,0,주건축물,302,180.4,59.74,604.66,604.66,200.22,21,철근콘크리트구조,철근콘크리트구조,1000,단독주택,"단독주택(다가구주택),근린생활시설",10,(철근)콘크리트,(철근)콘크리트,0,9,16.8,5,0,1,0,0,0,604.66,0,0,0,0,10,10,0,0,매탄2동
12,경기도 수원시 영통구 매탄동 50-9번지,41117,10100,0,50,9,1.08E+13,1,일반,2,일반건축물,경기도 수원시 영통구 산남로80번길 36 (매탄동),이산 패밀리타운 104동,,,,0,4.11E+11,10101,0,36,0,,0,주건축물,330,196.37,59.51,660.32,660.32,200.1,21,철근콘크리트구조,철근콘크리트구조,1000,단독주택,"단독주택(다가구주택,근린생활시설)",10,(철근)콘크리트,(철근)콘크리트,0,10,16.9,5,0,1,0,0,0,660.32,0,0,0,0,11,11,0,0,매탄2동
13,경기도 수원시 영통구 매탄동 50-10번지,41117,10100,0,50,10,1.08E+13,1,일반,2,일반건축물,경기도 수원시 영통구 산남로80번길 32 (매탄동),이산 패밀리타운 102동,,,,0,4.11E+11,10101,0,32,,,0,주건축물,416,248.021,59.62,819.596,819.596,197.02,21,철근콘크리트구조,철근콘크리트구조,1000,단독주택,단독주택(다가구주택) 외 1,10,(철근)콘크리트,(철근)콘크리트,0,11,16.7,5,0,1,0,0,0,819.596,0,0,0,0,13,13,0,0,매탄2동
14,경기도 수원시 영통구 매탄동 50-11번지,41117,10100,0,50,11,1.08E+13,1,일반,2,일반건축물,경기도 수원시 영통구 산남로80번길 30 (매탄동),이산 패밀리타운 101동,,,,0,4.11E+11,10101,0,30,0,,0,주건축물,363,213.24,58.74,726.872,726.872,200.24,21,철근콘크리트구조,철근콘크리트구조,1000,단독주택,단독주택(다가구주택) 외 1,10,(철근)콘크리트,(철근)콘크리트,0,9,16.6,5,0,1,0,0,0,726.872,0,0,0,0,10,10,0,0,매탄2동
15,경기도 수원시 영통구 매탄동 50-13번지,41117,10100,0,50,13,1.08E+13,1,일반,2,일반건축물,경기도 수원시 영통구 산남로80번길 34 (매탄동),이산 패밀리타운 103동,,,,1,4.11E+11,10101,0,34,0,,0,주건축물,326.9,195.55,59.82,649.75,649.75,198.76,21,철근콘크리트구조,철근콘크리트구조,1000,단독주택,"단독주택(다가구주택,근린생활시설)",10,(철근)콘크리트,(철근)콘크리트,0,11,17.1,5,0,1,0,0,0,649.75,0,0,0,0,12,12,0,0,매탄2동
19,경기도 수원시 영통구 매탄동 101번지,41117,10100,0,101,0,10841237003,1,일반,2,일반건축물,경기도 수원시 영통구 동수원로507번길 24 (매탄동),,,,,2,4.11E+11,10101,0,24,,,0,주건축물,791.6,274.73,34.71,274.73,274.73,34.71,32,경량철골구조,"연와조, 조립식판넬",3000,제1종근린생활시설,근생및주택,10,(철근)콘크리트,"슬라브, 조립식판넬",0,2,3.9,1,0,0,0,0,0,274.73,0,0,0,0,0,2,2,23,매탄1동
