,대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력,변환_행정동,주차면수합
9,경기도 수원시 장안구 파장동 19-18번지,41111,12900,0,19,18,1.08E+13,1,일반,2,일반건축물,경기도 수원시 장안구 경수대로1220번길 30-76 (파장동),,,,,0,4.11E+11,12901,0,30,76,,0,주건축물,1653,325.2,19.67,794,794,48.03,21,철근콘크리트구조,철근콘크리트구조,3000,제1종근린생활시설,"제1,2종근린생활시설,단독주택(1가구)",10,(철근)콘크리트,(철근)콘크리트,0,1,14.4,3,0,0,0,0,0,794,0,0,0,0,0,0,7,80.5,20120420,20120522,20121107,2012,3750028,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,0,,파장동,7
10,경기도 수원시 장안구 파장동 20번지,41111,12900,0,20,0,1084112733,1,일반,2,일반건축물,경기도 수원시 장안구 경수대로1220번길 30-71 (파장동),,,,,0,4.11E+11,12901,0,30,71,,0,주건축물,1770,184.53,10.43,176.13,176.13,9.95,21,철근콘크리트구조,철근콘크리트조,1000,단독주택,단독주택,10,(철근)콘크리트,경사스라브,0,1,4.7,1,0,0,0,0,0,0,0,0,0,0,0,0,2,23,20000212,20020208,20030619,,,,,,0,,0,0,,0,,0,20220909,0,,파장동,2
11,경기도 수원시 장안구 파장동 21-5번지,41111,12900,0,21,5,108415004,1,일반,2,일반건축물,경기도 수원시 장안구 경수대로1220번길 30-69 (파장동),솔밭가든,,,,0,4.11E+11,12901,0,30,69,,0,주건축물,1931,385.66,19.97,354.52,354.52,18.36,21,철근콘크리트구조,철근콘크리트조,4000,제2종근린생활시설,제2종근린생활시설,10,(철근)콘크리트,경사스라브,0,0,5.8,1,0,0,0,0,0,354.52,0,0,0,0,0,0,3,34.5,20000212,20000406,20000927,,,,,,0,,0,0,,0,,0,20220909,0,,파장동,3
12,경기도 수원시 장안구 파장동 22번지,41111,12900,0,22,0,1084115939,1,일반,2,일반건축물,경기도 수원시 장안구 경수대로1220번길 30-47 (파장동),,,,,0,4.11E+11,12901,0,30,47,,0,주건축물,1217,236.65,19.45,494.94,236.65,19.45,21,철근콘크리트구조,철근콘크리트구조,4000,제2종근린생활시설,제2종근린생활시설(일반음식점),10,(철근)콘크리트,(철근)콘크리트,0,0,7.7,1,1,0,0,0,0,494.94,0,0,0,0,0,0,4,0,20050914,20050920,20060615,2005,,,1101,신축허가,0,,0,0,,0,,0,20220909,0,,파장동,4
13,경기도 수원시 장안구 파장동 22-3번지,41111,12900,0,22,3,1.08E+13,1,일반,2,일반건축물,경기도 수원시 장안구 경수대로1220번길 30-50 (파장동),,,,,0,4.11E+11,12901,0,30,50,,0,주건축물,939,180,19.17,180,180,19.17,31,일반철골구조,일반철골구조,4000,제2종근린생활시설,제조업소,90,기타지붕,일반철골구조,0,0,7.5,1,0,0,0,0,0,180,0,0,0,0,0,0,1,13,20200423,20210920,20220324,2020,3750028,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,0,,파장동,1
18,경기도 수원시 장안구 파장동 23-13번지,41111,12900,0,23,13,108415042,1,일반,2,일반건축물,경기도 수원시 장안구 경수대로1220번길 30-31 (파장동),,,,,0,4.11E+11,12901,0,30,31,주건축물제1동,0,주건축물,980,191.09,19.5,486.94,369.7,37.72,31,일반철골구조,"철근콘크리트조, 철골조",4000,제2종근린생활시설,제2종근린생활시설,10,(철근)콘크리트,경사스라브,0,0,9,2,1,0,0,0,0,0,0,0,0,0,0,0,3,35,20010703,20010821,20020323,,,,,,0,,0,0,,0,,0,20220909,0,,파장동,3
30,경기도 수원시 장안구 파장동 80-2번지,41111,12900,0,80,2,1.08E+13,1,일반,2,일반건축물,경기도 수원시 장안구 경수대로1220번길 15 (파장동),,,,,0,4.11E+11,12901,0,15,0,,0,주건축물,255,97.5,38.24,195,195,76.47,32,경량철골구조,경량철골구조,1000,단독주택,단독주택 및 근린생활시설,10,(철근)콘크리트,(철근)콘크리트,0,1,9.1,2,0,0,0,0,0,195,0,0,0,0,0,0,2,30,20160314,20160426,20160906,2016,3750028,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,0,,파장동,2
32,경기도 수원시 장안구 파장동 85번지,41111,12900,0,85,0,108411149,1,일반,2,일반건축물,경기도 수원시 장안구 경수대로1220번길 23 (파장동),(주)크라운제과,,,,1,4.11E+11,12901,0,23,0,(D동),0,주건축물,0,596.41,0,922.26,922.26,0,31,일반철골구조,일반철골구조,3000,제1종근린생활시설,"제1,2종근린생활시설(소매점, 사무소)",90,기타지붕,경량철골조,0,0,13.4,2,0,0,0,0,0,922.26,0,0,0,0,0,0,23,269.5,20031006,20031022,20040105,2003,3750028,건축과,1102,증축허가,0,,0,0,,0,,0,20220909,0,,파장동,23
36,경기도 수원시 장안구 파장동 87-1번지,41111,12900,0,87,1,108418446,1,일반,2,일반건축물,경기도 수원시 장안구 경수대로1220번길 28 (파장동),,,,,0,4.11E+11,12901,0,28,,,0,주건축물,235,93.22,39.67,229.53,229.53,97.67,31,일반철골구조,일반철골구조,4000,제2종근린생활시설,제2종근린생활시설,90,기타지붕,기타지붕,0,0,11.1,3,0,0,0,0,0,229.53,0,0,0,0,0,0,1,11.5,20041108,20041112,20050216,2004,3750028,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,0,,파장동,1
40,경기도 수원시 장안구 파장동 91-1번지,41111,12900,0,91,1,1.08E+13,1,일반,2,일반건축물,경기도 수원시 장안구 경수대로1220번길 18 (파장동),,,,,0,4.11E+11,12901,0,18,,,0,주건축물,331,131.94,39.86,263.88,263.88,79.72,21,철근콘크리트구조,철근콘크리트구조,4000,제2종근린생활시설,제2종근린생활시설 외 1,10,(철근)콘크리트,(철근)콘크리트,0,0,9.5,2,0,0,0,0,0,263.88,0,0,0,0,0,0,2,23,20070420,20070515,20071203,2007,3750028,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,0,,파장동,2
42,경기도 수원시 장안구 파장동 92-1번지,41111,12900,0,92,1,1.08E+13,1,일반,2,일반건축물,경기도 수원시 장안구 경수대로1220번길 10 (파장동),,,,,0,4.11E+11,12901,0,10,,,0,주건축물,810,205.59,25.38,399.6,399.6,49.33,21,철근콘크리트구조,철근콘크리트구조,6000,종교시설,종교시설,10,(철근)콘크리트,(철근)콘크리트,0,0,8.8,2,0,0,0,0,0,399.6,0,0,0,0,0,0,4,46,20060705,20060828,20071227,2006,3750028,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,0,,파장동,4
43,경기도 수원시 장안구 파장동 92-4번지,41111,12900,0,92,4,1084114714,1,일반,2,일반건축물,경기도 수원시 장안구 경수대로1220번길 16 (파장동),,,,,0,4.11E+11,12901,0,16,0,,0,주건축물,205,81.96,39.98,163.92,163.92,79.96,31,일반철골구조,일반철골구조,1000,단독주택,단독주택 외 1,90,기타지붕,기타지붕,0,1,8.2,2,0,0,0,0,0,163.92,0,0,0,0,0,0,2,23,20070323,20070504,20070905,2007,3750028,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,0,,파장동,2
45,경기도 수원시 장안구 파장동 95번지,41111,12900,0,95,0,108418814,1,일반,2,일반건축물,경기도 수원시 장안구 경수대로1220번길 6-25 (파장동),,,,,1,4.11E+11,12901,0,6,25,,0,주건축물,827,296.46,35.85,336.24,336.24,40.66,32,경량철골구조,철골조,4000,제2종근린생활시설,제2종근린생활시설,90,기타지붕,조립식판넬,0,0,6.7,2,0,0,0,0,0,336.24,0,0,0,0,0,0,2,23,19991201,19991209,20000519,,,,,,0,,0,0,,0,,0,20220909,0,,파장동,2
46,경기도 수원시 장안구 파장동 95-1번지,41111,12900,0,95,1,108419021,1,일반,2,일반건축물,경기도 수원시 장안구 경수대로1220번길 6-15 (파장동),,,,,0,4.11E+11,12901,0,6,15,,0,주건축물,812,320,39.41,396.5,396.5,48.83,32,경량철골구조,경량철골조,4000,제2종근린생활시설,제2종근린생활시설,90,기타지붕,샌드위치판넬,0,0,8,2,0,0,0,0,0,396.5,0,0,0,0,0,0,3,34.5,20000518,20000526,20001127,,,,,,0,,0,0,,0,,0,20220909,0,,파장동,3
47,경기도 수원시 장안구 파장동 95-2번지,41111,12900,0,95,2,108414675,1,일반,2,일반건축물,경기도 수원시 장안구 경수대로1220번길 6-21 (파장동),,,,,0,4.11E+11,12901,0,6,21,,0,주건축물,666,265,39.79,265,265,39.79,31,일반철골구조,철골조,3000,제1종근린생활시설,제1종근린생활시설,90,기타지붕,경사지붕,0,0,5.9,1,0,0,0,0,0,0,0,0,0,0,0,0,2,23,20020320,20020329,20020709,,,,,,0,,0,0,,0,,0,20220909,0,,파장동,2
48,경기도 수원시 장안구 파장동 97-5번지,41111,12900,0,97,5,108418833,1,일반,2,일반건축물,경기도 수원시 장안구 경수대로1220번길 6-33 (파장동),,,,,0,4.11E+11,12901,0,6,33,,0,주건축물,651,259.19,39.81,259.19,259.19,39.81,31,일반철골구조,철골조,4000,제2종근린생활시설,제2종근린생활시설 외 1,90,기타지붕,샌드위치판넬,0,0,8,1,0,0,0,0,0,259.19,0,0,0,0,0,0,2,23,20020619,20020706,20020904,,,,,,0,,0,0,,0,,0,20220909,0,,파장동,2
52,경기도 수원시 장안구 파장동 100-2번지,41111,12900,0,100,2,108416450,1,일반,2,일반건축물,경기도 수원시 장안구 경수대로1220번길 30-12 (파장동),,,,,0,4.11E+11,12901,0,30,12,,0,주건축물,388,124.85,32.18,374.55,374.55,96.53,21,철근콘크리트구조,철근콘크리트조,4000,제2종근린생활시설,"제2종근린생활시설, 단독주택(4가구)",10,(철근)콘크리트,평스라브,0,4,10.8,3,0,0,0,0,0,374.55,0,0,0,0,0,0,3,34.5,20030124,20030207,20030506,,,,,,0,,0,0,,0,,0,20220909,0,,파장동,3
59,경기도 수원시 장안구 파장동 105번지,41111,12900,0,105,0,1.08E+13,1,일반,2,일반건축물,경기도 수원시 장안구 경수대로1220번길 6-55 (파장동),,,,,0,4.11E+11,12901,0,6,55,,0,주건축물,468,73.08,15.62,73.08,73.08,15.62,32,경량철골구조,경량철골구조,1000,단독주택,단독주택,90,기타지붕,판넬경사지붕,0,1,5.1,1,0,0,0,0,0,73.08,0,0,0,0,0,0,1,11.5,20100526,,20131113,2010,3750028,건축과,1201,신축신고,0,,0,0,,0,,0,20220909,0,,파장동,1
61,경기도 수원시 장안구 파장동 106-2번지,41111,12900,0,106,2,108413194,1,일반,2,일반건축물,경기도 수원시 장안구 경수대로1220번길 6-20 (파장동),,,,,0,4.11E+11,12901,0,6,20,,0,주건축물,298,102.64,34.44,149.01,149.01,50,51,일반목구조,목조,1000,단독주택,단독주택,90,기타지붕,기타지붕,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,11.5,20020430,20020514,20020906,,,,,,0,,0,0,,0,,0,20220909,0,,파장동,1
64,경기도 수원시 장안구 파장동 107-2번지,41111,12900,0,107,2,1084114501,1,일반,2,일반건축물,경기도 수원시 장안구 경수대로1220번길 6-16 (파장동),,,,,0,4.11E+11,12901,0,6,16,,0,주건축물,355,110.73,31.19,159.44,159.44,44.91,21,철근콘크리트구조,철근콘크리트구조,1000,단독주택,단독주택,10,(철근)콘크리트,(철근)콘크리트,0,1,8.25,2,0,0,0,0,0,159.44,0,0,0,0,0,0,1,15,20040319,20040421,20040818,2004,3750028,건축과,1201,신축신고,0,,0,0,,0,,0,20220909,0,,파장동,1
66,경기도 수원시 장안구 파장동 110-2번지,41111,12900,0,110,2,1.08E+13,1,일반,2,일반건축물,경기도 수원시 장안구 경수대로 1196-3 (파장동),,,,,0,4.11E+11,12901,0,1196,3,,0,주건축물,1448,266.8,18.43,266.8,266.8,18.43,31,일반철골구조,일반철골구조,4000,제2종근린생활시설,제2종근린생활시설,90,기타지붕,기타지붕,0,0,7.5,1,0,0,0,0,0,266.8,0,0,0,0,0,0,2,23,20180809,20180830,20181224,2018,3750028,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,1,Ⅶ-0.182g,파장동,2
