,대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력,변환_행정동,주차면수합
18,경기도 수원시 권선구 세류동 82-4번지,41113,12600,0,82,4,1.08E+13,1,일반,2,일반건축물,경기도 수원시 권선구 권선로537번길 40 (세류동),,,,,0,4.11E+11,12601,0,40,,,0,주건축물,209,125.19,59.89,410.3,410.3,196.32,21,철근콘크리트구조,철근콘크리트구조,1000,단독주택,"다가구주택, 근린생활시설",10,(철근)콘크리트,(철근)콘크리트,0,5,13.65,4,0,1,0,0,0,410.3,0,0,0,0,0,0,5,57.5,20170209,20180205,20180828,2017,3760030,건축과,1101,신축허가,1,,0,0,,0,,0,20220909,1,,세류3동,5
19,경기도 수원시 권선구 세류동 82-12번지,41113,12600,0,82,12,1084196015,1,일반,2,일반건축물,경기도 수원시 권선구 권선로545번길 21-5 (세류동),,,,,0,4.11E+11,12601,0,21,5,,0,주건축물,119,71.13,59.77,197.73,197.73,166.16,11,벽돌구조,연와조,1000,단독주택,주택(5가구),10,(철근)콘크리트,스라브,0,5,10.3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,11.5,19960209,19960312,19960628,,,,,,0,,0,0,,0,,0,20220909,0,,세류3동,1
21,경기도 수원시 권선구 세류동 82-16번지,41113,12600,0,82,16,1084198570,1,일반,2,일반건축물,경기도 수원시 권선구 권선로537번길 26-9 (세류동),,,,,0,4.11E+11,12601,0,26,9,,0,주건축물,155,91.95,59.32,245.52,152.7,98.51,11,벽돌구조,연와조,1000,단독주택,다가구주택(7),10,(철근)콘크리트,스라브,0,7,7.36,2,1,0,0,0,0,0,0,0,0,0,0,0,1,11.5,19930426,19930500,19931104,,,,,,0,,0,0,,0,,0,20220909,0,,세류3동,1
22,경기도 수원시 권선구 세류동 82-17번지,41113,12600,0,82,17,1.08E+13,1,일반,2,일반건축물,경기도 수원시 권선구 권선로537번길 26-11 (세류동),,,,,0,4.11E+11,12601,0,26,11,,0,주건축물,122,71.57,58.66,71.57,71.57,58.66,21,철근콘크리트구조,철근콘크리트구조,1000,단독주택,단독주택,10,(철근)콘크리트,평스라브,0,1,4.3,1,0,0,0,0,0,71.57,0,0,0,0,0,0,1,11.5,20130225,20130305,20130513,2013,3760030,건축과,1201,신축신고,0,,0,0,,0,,0,20220909,0,,세류3동,1
25,경기도 수원시 권선구 세류동 82-20번지,41113,12600,0,82,20,10841101728,1,일반,2,일반건축물,경기도 수원시 권선구 권선로545번길 21-6 (세류동),,,,,0,4.11E+11,12601,0,21,6,,0,주건축물,218,130.15,59.7,300.96,232.56,106.68,21,철근콘크리트구조,철근콘크리트구조,1000,단독주택,단독주택,10,(철근)콘크리트,(철근)콘크리트,0,2,9.3,2,1,0,0,0,0,300.96,0,0,0,0,4,68.4,0,0,20040602,20040608,20040830,2004,3760030,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,0,,세류3동,4
26,경기도 수원시 권선구 세류동 82-21번지,41113,12600,0,82,21,10841100881,1,일반,2,일반건축물,경기도 수원시 권선구 권선로545번길 21-8 (세류동),,,,,0,4.11E+11,12601,0,21,8,,0,주건축물,221,112.4,59.17,335.51,335.51,151.81,19,기타조적구조,조적조,1000,단독주택,주택(7가구),10,(철근)콘크리트,스라브,0,7,9.9,3,0,0,0,0,0,0,0,0,0,0,0,0,2,23,19960604,19960615,19961203,,,,,,0,,0,0,,0,,0,20220909,0,,세류3동,2
27,경기도 수원시 권선구 세류동 82-22번지,41113,12600,0,82,22,10841100716,1,일반,2,일반건축물,경기도 수원시 권선구 권선로537번길 34-9 (세류동),,,,,0,4.11E+11,12601,0,34,9,,0,주건축물,200,113.96,56.98,293.01,193.03,96.52,11,벽돌구조,연와조,1000,단독주택,다가구주택,10,(철근)콘크리트,스라브,0,7,7.9,2,1,0,0,0,0,0,0,0,0,0,0,0,1,11.5,19930503,19930513,19930915,,,,,,0,,0,0,,0,,0,20220909,0,,세류3동,1
29,경기도 수원시 권선구 세류동 83-3번지,41113,12600,0,83,3,1.08E+13,1,일반,2,일반건축물,경기도 수원시 권선구 권선로537번길 28 (세류동),,,,,0,4.11E+11,12601,0,28,0,,0,주건축물,92,48.66,52.89,194.64,148.94,161.89,21,철근콘크리트구조,철근콘크리트구조,1000,단독주택,단독주택외1,10,(철근)콘크리트,(철근)콘크리트,0,2,13.6,4,0,0,0,0,0,194.64,0,0,0,0,0,0,2,23,20090902,20100329,20100916,2009,3760030,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,1,,세류3동,2
31,경기도 수원시 권선구 세류동 83-7번지,41113,12600,0,83,7,1084190376,1,일반,2,일반건축물,경기도 수원시 권선구 권선로537번길 26-12 (세류동),,,,,0,4.11E+11,12601,0,26,12,,0,주건축물,236,140.07,59.35,414.27,414.27,175.54,21,철근콘크리트구조,철근콘크리트구조,1000,단독주택,"단독주택, 제1종근린생활시설",10,(철근)콘크리트,(철근)콘크리트,0,1,7.9,3,0,0,0,0,0,0,0,0,0,0,0,0,3,34.5,20030320,20030408,20030719,,,,,,0,,0,0,,0,,0,20220909,0,,세류3동,3
32,경기도 수원시 권선구 세류동 83-8번지,41113,12600,0,83,8,1.08E+13,1,일반,2,일반건축물,경기도 수원시 권선구 권선로537번길 18-6 (세류동),,,,,0,4.11E+11,12601,0,18,6,,0,주건축물,170,101.52,59.72,301.12,301.12,177.13,21,철근콘크리트구조,철근콘크리트구조,1000,단독주택,단독주택(다가구주택),10,(철근)콘크리트,경사지붕,0,6,14.06,4,0,0,0,0,0,301.12,0,0,0,0,5,57.5,1,11.5,20161212,20161228,20170804,2016,3760030,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,1,,세류3동,6
