집계년도,시군명,관리기관명,단속일시정보,단속장소,단속방법,데이터기준일자,위도,경도,행정동
2023,수원시,팔달구청,2023-01-01 0:23,우만동 509-11 (횡단보도),국민신문고,2023-12-01,37.2831199773456,127.029388853834,우만1동
2023,수원시,권선구청,2023-01-01 1:52,오목천동 527-67,국민신문고,2023-12-01,37.2432249237386,126.966340254477,평동
2023,수원시,권선구청,2023-01-01 1:53,오목천동 527-67,국민신문고,2023-12-01,37.2432249237386,126.966340254477,평동
2023,수원시,팔달구청,2023-01-01 2:40,화서동 127-3 (버스정류장 10m 이내),국민신문고,2023-12-01,37.2756306553487,126.995056114144,화서1동
2023,수원시,팔달구청,2023-01-01 3:28,인계동 1034-7 (교차로모퉁이 5m 이내),국민신문고,2023-12-01,37.2663002400049,127.030513541292,인계동
2023,수원시,권선구청,2023-01-01 3:54,세류동 1224,국민신문고,2023-12-01,37.2490453604482,127.015712035128,세류2동
2023,수원시,장안구청,2023-01-01 5:09,송죽동 송죽동 464,국민신문고,2023-12-01,37.3020961394735,127.004830118095,송죽동
2023,수원시,장안구청,2023-01-01 5:12,송죽동 송죽동 468,국민신문고,2023-12-01,37.304201996535,127.003548554571,송죽동
2023,수원시,장안구청,2023-01-01 5:17,송죽동 송죽동 466,국민신문고,2023-12-01,37.3032806779201,127.003843017414,송죽동
2023,수원시,장안구청,2023-01-01 5:23,송죽동 송죽동 318,국민신문고,2023-12-01,37.3009031519733,127.002368494684,송죽동
2023,수원시,장안구청,2023-01-01 5:48,송죽동 송죽동 468,국민신문고,2023-12-01,37.304201996535,127.003548554571,송죽동
2023,수원시,장안구청,2023-01-01 5:53,송죽동 송죽동 259-3,국민신문고,2023-12-01,37.3033822866364,127.000327893712,송죽동
2023,수원시,장안구청,2023-01-01 6:00,송죽동 송죽동 468,국민신문고,2023-12-01,37.304201996535,127.003548554571,송죽동
2023,수원시,영통구청,2023-01-01 6:34,영통구 매탄동 914,국민신문고,2023-12-01,37.2704624865902,127.04775895352,매탄2동
2023,수원시,영통구청,2023-01-01 6:34,영통구 매탄동 914,국민신문고,2023-12-01,37.2704624865902,127.04775895352,매탄2동
2023,수원시,영통구청,2023-01-01 6:37,영통구 매탄동 914,국민신문고,2023-12-01,37.2704624865902,127.04775895352,매탄2동
2023,수원시,권선구청,2023-01-01 6:51,세류동 525,국민신문고,2023-12-01,37.2586152605417,127.012663271595,세류3동
2023,수원시,권선구청,2023-01-01 6:51,세류동 525,국민신문고,2023-12-01,37.2586152605417,127.012663271595,세류3동
2023,수원시,팔달구청,2023-01-01 7:39,우만동 485-27 (교차로모퉁이 5m 이내),국민신문고,2023-12-01,37.2871826992966,127.029639543484,우만1동
2023,수원시,영통구청,2023-01-01 7:57,영통구 영통동 1024-11,국민신문고,2023-12-01,37.2478570030323,127.077467886403,영통3동
2023,수원시,권선구청,2023-01-01 8:38,권선동 1092,국민신문고,2023-12-01,37.2593247704541,127.0180070739,세류3동
2023,수원시,팔달구청,2023-01-01 9:00,남창동 화성사업소,고정형,2023-12-01,37.28683226378,127.01491155417416,행궁동
2023,수원시,권선구청,2023-01-01 9:00,금곡동 세인트마리 여성병원 주변,고정형,2023-12-01,37.2754513188001,126.95393369772,금곡동
2023,수원시,팔달구청,2023-01-01 9:01,인계동 무비사거리,고정형,2023-12-01,37.264141062247276,127.03055596075598,인계동
