집계년도,시군명,관리기관명,단속일시정보,단속장소,단속방법,데이터기준일자,위도,경도,행정동
2023,수원시,팔달구청,2023-01-01 9:03,인계동 드림캐슬주상복합,고정형,2023-12-01,,,
2023,수원시,권선구청,2023-01-01 9:03,곡선동 권선중앙약국 건너편,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-01-01 9:04,인계동 드림캐슬주상복합,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-01-01 9:04,매산동 팅스몰 주차장 출구 옆,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-01-01 9:04,화서1동 푸르지오자이 북문 CU 앞 횡단보도,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-01-01 9:06,인계동 드림캐슬주상복합,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-01-01 9:06,인계동 한국씨티은행,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-01-01 9:07,화서1동 푸르지오자이 북문 CU 앞 횡단보도,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-01-01 9:29,매산동 팅스몰 주차장 출구 옆,고정형,2023-12-01,,,
2023,수원시,영통구청,2023-01-01 9:50,영통동 롯데마트 뒤,고정형,2023-12-01,37.27220279535416,127.10856729001851,
2023,수원시,권선구청,2023-01-01 10:03,서둔동 가온팰리스옆2,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-01-01 10:49,매산동 팅스몰 주차장 출구 옆,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-01-01 12:00,고등동 215-47 (소화전 주변 5m 이내),국민신문고,2023-12-01,,,
2023,수원시,영통구청,2023-01-01 12:24,광교동 광교더사랑교회뒷길,고정형,2023-12-01,,,
2023,수원시,영통구청,2023-01-01 12:24,광교동 광교더사랑교회뒷길,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-01-01 12:25,행궁동 팔달문 버스정류장,고정형,2023-12-01,,,
2023,수원시,영통구청,2023-01-01 12:49,영통동 마사회뒷길,고정형,2023-12-01,,,
2023,수원시,팔달구청,2023-01-01 14:25,경기도수원시팔달구화서동 수원시 팔달구 팔달로 120,보행,2023-12-01,,,
2023,수원시,팔달구청,2023-01-01 14:26,경기도수원시팔달구화서동 수원시 팔달구 팔달로 120,보행,2023-12-01,,,
2023,수원시,팔달구청,2023-01-01 14:26,경기도수원시팔달구화서동 수원시 팔달구 팔달로 120,보행,2023-12-01,,,
2023,수원시,팔달구청,2023-01-01 14:27,경기도수원시팔달구화서동 수원시 팔달구 팔달로 120,보행,2023-12-01,,,
2023,수원시,권선구청,2023-01-01 14:31,서둔동 롯데마트 하역장입구,고정형,2023-12-01,,,
2023,수원시,권선구청,2023-01-01 14:32,곡반정동 궁촌육교앞,고정형,2023-12-01,,,
