구,행정동,생활 인구,소매업,의료기관,교육기관,서비스업,음식점,주차면수 합,카드소비,지역면적(km^2),버스정류장수,근린생활시설수,추정 차량등록수,로그 필요주차면수,,단속건수,가중치*단속건수,구별_인구수,구별_차량등록수,유입인구
장안구,파장동,25225,246,27,46,193,288,3515,21855,8.63,67,990,9898,6.666816834,,4410,785.89,277645,108944,19726
장안구,율천동,42518,278,36,147,349,512,3880,17442,3.14,68,1417,16683,6.792613751,,4928,891.24,277645,108944,32824
장안구,정자1동,27789,142,26,106,137,150,1764,7453,1.28,24,496,10904,6.038419695,,2345,419.23,277645,108944,14619
장안구,정자2동,38198,254,31,89,234,304,2946,49304,1.44,25,922,14988,6.392101351,,3380,597.11,277645,108944,21120
장안구,영화동,20217,297,36,35,329,496,4781,17070,1.27,31,1573,7933,6.901505792,,5728,993.77,277645,108944,23052
장안구,송죽동,18765,201,24,48,202,348,3189,11396,1.65,18,938,7363,6.944087208,,5294,1037,277645,108944,15036
장안구,조원1동,28924,247,23,71,204,282,2953,11353,1.84,30,913,11349,6.771568937,,4713,872.68,277645,108944,21708
장안구,연무동,18403,200,20,25,133,275,2790,5482,11.58,35,736,7221,6.634804171,,4431,761.13,277645,108944,14948
장안구,정자3동,39850,265,76,344,252,346,2903,25033,1.44,49,1061,15637,7.138128632,,6175,1259.07,277645,108944,30098
장안구,조원2동,17756,153,34,59,75,73,1643,10585,1.29,10,373,6967,4.861748513,,696,129.25,277645,108944,11830
권선구,세류1동,10809,57,12,30,86,54,752,2693,0.93,18,259,6011,6.052300911,,1876,425.09,375574,208845,9189
권선구,세류2동,25141,219,27,36,223,278,3411,10080,3.58,28,1026,13980,7.20625859,,5559,1347.84,375574,208845,15395
권선구,세류3동,19041,220,16,31,218,228,2349,6981,1.29,16,889,10588,6.812224075,,3724,908.89,375574,208845,9698
권선구,평동,41820,312,31,88,445,457,6052,35674,10.91,116,1735,23255,7.890713514,,12794,2672.35,375574,208845,37331
권선구,서둔동,38639,532,38,76,318,399,7545,50074,8.84,84,1702,21486,8.038008343,,13436,3096.44,375574,208845,34727
권선구,구운동,23713,284,10,58,205,299,3822,31557,1.94,46,920,13186,6.859331548,,4501,952.73,375574,208845,17100
권선구,권선1동,24773,438,37,67,379,560,4087,31349,1.03,23,1628,13775,8.125790739,,14632,3380.54,375574,208845,37583
권선구,곡선동,35723,296,39,147,354,444,6990,23712,4.46,23,1418,19864,8.416809161,,19730,4522.45,375574,208845,25418
권선구,입북동,19796,81,6,65,77,88,763,4903,7.08,57,314,11008,6.267181573,,2368,526.99,375574,208845,11771
권선구,권선2동,46807,357,55,165,250,311,2264,25749,1.81,42,871,26028,6.995097435,,4760,1091.27,375574,208845,26608
권선구,금곡동,44359,351,66,230,355,568,4243,28633,4.04,29,1483,24667,7.849386219,,11889,2564.16,375574,208845,30513
권선구,호매실동,44953,190,28,130,217,336,2440,18101,4.74,54,979,24997,7.672106219,,10203,2147.6,375574,208845,25068
팔달구,지동,10818,213,16,15,71,138,1679,19115,0.79,23,506,4347,6.911697498,,3914,1003.95,208791,83903,11476
팔달구,우만1동,19329,238,24,49,194,268,3063,11823,1.14,28,937,7767,7.376257782,,5820,1597.6,208791,83903,17762
팔달구,우만2동,17168,125,28,75,121,196,1522,12365,0.83,17,556,6899,5.743804149,,1168,312.25,208791,83903,13649
팔달구,인계동,46852,1038,186,178,842,1361,7823,98452,2.91,45,4095,18828,10.01244375,,85177,22302.27,208791,83903,57072
팔달구,매교동,22297,116,14,81,111,132,1322,7372,0.86,23,563,8960,6.458040433,,2462,637.81,208791,83903,12283
팔달구,매산동,12224,764,58,50,339,612,1558,52219,0.82,19,2204,4912,8.067848293,,12082,3190.23,208791,83903,32910
팔달구,고등동,22554,124,6,31,127,182,1868,5352,1.01,26,599,9063,7.133790645,,4820,1253.62,208791,83903,11782
팔달구,화서1동,22771,322,44,51,193,301,2915,9297,0.81,31,963,9151,7.267420747,,5553,1432.85,208791,83903,14148
팔달구,화서2동,24539,113,30,103,141,197,1410,7427,2.12,35,520,9861,6.600033751,,2825,735.12,208791,83903,22319
팔달구,행궁동,10239,808,54,18,151,763,22081,22788,1.57,21,2122,4115,8.350543389,,16296,4232.48,208791,83903,20771
영통구,매탄1동,13054,160,31,43,95,143,872,7043,1.23,7,418,5411,6.785576346,,3585,884.99,371414,153952,9035
영통구,매탄2동,14440,145,16,50,135,220,2166,6987,0.79,12,651,5985,7.083907847,,4724,1192.62,371414,153952,17621
영통구,매탄3동,35257,307,47,193,325,516,3984,30764,2.34,36,1426,14614,7.670381879,,10061,2143.9,371414,153952,40571
영통구,매탄4동,20590,142,14,40,133,201,1307,4487,0.78,19,469,8535,6.819448518,,3850,915.48,371414,153952,10810
영통구,원천동,47075,352,40,159,339,580,4968,63829,3.22,69,1985,19513,7.559903366,,8646,1919.66,371414,153952,48780
영통구,광교1동,53664,674,84,322,492,839,5153,54017,7.98,85,2583,22244,7.992741824,,12921,2959.4,371414,153952,59223
영통구,광교2동,28918,237,19,92,172,374,4643,36225,4.16,41,1841,11987,7.115281512,,4940,1230.63,371414,153952,34547
영통구,영통1동,33704,104,20,118,119,112,654,5937,1.69,26,329,13970,6.92875327,,3993,1021.22,371414,153952,18048
영통구,영통2동,25904,253,43,114,263,443,4806,27732,1.36,19,1501,10737,7.837684581,,11664,2534.33,371414,153952,28747
영통구,영통3동,33275,478,101,299,436,811,5910,48392,1.72,26,2487,13793,7.877799078,,10352,2638.06,371414,153952,39170
영통구,망포1동,31898,132,31,167,127,144,1175,11080,1,16,500,13222,6.37873174,,2585,589.18,371414,153952,21815
영통구,망포2동,33635,136,58,170,128,130,895,18123,1.44,20,510,13942,6.865379995,,4127,958.51,371414,153952,20674
