,대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력,변환_행정동,주차면수합
10,경기도 수원시 팔달구 팔달로1가 6-4번지,41115,12000,0,6,4,10841183199,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로 820 (팔달로1가),,,,,0,4.11E+11,12001,0,820,0,,0,주건축물,715.6,513.55,71.76,2537.35,1489.49,208.15,21,철근콘크리트구조,철근콘크리트조,4000,제2종근린생활시설,제2종근린생활시설,10,(철근)콘크리트,평 스라브,0,0,17.1,3,2,1,0,0,0,0,0,0,0,0,22,793.87,0,0,19960222,19960228,19971215,,,,,,0,,0,0,,0,,0,20220909,0,,행궁동,22
13,경기도 수원시 팔달구 팔달로1가 7-3번지,41115,12000,0,7,3,1.00E+21,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로810번길 7-13 (팔달로1가),,,,,0,4.11E+11,12001,0,7,13,주건축물제1동,0,주건축물,109.8,81.78,74.48,311.63,311.63,283.82,21,철근콘크리트구조,철근콘크리트구조,4000,제2종근린생활시설,사무소,10,(철근)콘크리트,(철근)콘크리트,0,0,16.45,5,0,1,0,0,0,311.63,0,0,0,0,2,25,0,0,20240304,20240429,20240913,2024,3770030,건축과,1101,신축허가,0,,0,0,,0,,0,20240919,1,VII-0.170g,행궁동,2
19,경기도 수원시 팔달구 팔달로1가 7-8번지,41115,12000,0,7,8,10841175240,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로810번길 5 (팔달로1가),,,,,0,4.11E+11,12001,0,5,0,,0,주건축물,163,109.35,67.09,328.05,328.05,201.26,31,일반철골구조,철골조,4000,제2종근린생활시설,"제1종근린생활시설, 제2종근린생활시설",10,(철근)콘크리트,평슬라브,0,0,10.95,3,0,0,0,0,0,0,0,0,0,0,0,0,2,23,20010626,20010711,20011030,,,,,,0,,0,0,,0,,0,20220909,0,,행궁동,2
27,경기도 수원시 팔달구 팔달로1가 8-8번지,41115,12000,0,8,8,10841179518,1,일반,2,일반건축물,경기도 수원시 팔달구 창룡대로8번길 28 (팔달로1가),,,,,1,4.11E+11,12001,0,28,,,0,주건축물,323.9,215.88,66.65,844.64,671.76,207.4,21,철근콘크리트구조,"철근콘크리트조, 경량철골조",1000,단독주택,"단독주택[18가구], 제2종근린생활시설",10,(철근)콘크리트,평슬라브,0,18,12.1,4,0,0,0,0,0,0,0,0,0,0,0,0,6,69,20010521,20010522,20011116,,,,,,1,,0,0,,0,,0,20220909,0,,행궁동,6
31,경기도 수원시 팔달구 팔달로1가 9-1번지,41115,12000,0,9,1,10841171729,1,일반,2,일반건축물,경기도 수원시 팔달구 창룡대로8번길 34 (팔달로1가),,,,,0,4.11E+11,12001,0,34,,,0,주건축물,449.6,354.98,78.95,1062.06,709.96,157.91,21,철근콘크리트구조,철근콘크리트조,4000,제2종근린생활시설,"근린생활시설,위락시설",90,기타지붕,"슬라브,판넬지붕",0,0,7.9,2,1,0,0,0,0,1062.06,0,0,0,0,0,0,1,11.5,19800906,,19801216,,,,,,0,,0,0,,0,,0,20220909,0,,행궁동,1
37,경기도 수원시 팔달구 팔달로1가 11-1번지,41115,12000,0,11,1,10841169365,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로810번길 6 (팔달로1가),,,,,0,4.11E+11,12001,0,6,0,,0,주건축물,116.4,94.23,80.95,355.64,267.26,229.6,21,철근콘크리트구조,철근콘크리트조,4000,제2종근린생활시설,근린생활시설,10,(철근)콘크리트,슬라브,0,0,12.9,3,1,0,0,0,0,0,0,0,0,0,2,30.93,0,0,19931016,19940407,19940927,,,,,,0,,0,0,,0,,0,20220909,0,,행궁동,2
41,경기도 수원시 팔달구 팔달로1가 11-8번지,41115,12000,0,11,8,10841187362,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로 806 (팔달로1가),수원이안과빌딩,,,,0,4.11E+11,12001,0,806,,,0,주건축물,358.3,228.14,63.67,1368.84,1177.9,328.75,21,철근콘크리트구조,철근콘크리트조,3000,제1종근린생활시설,제1종근린생활시설,10,(철근)콘크리트,슬라브,0,0,22.4,6,0,1,0,0,0,0,0,0,0,0,8,190.94,0,0,20011109,20011122,20020520,,,,,,0,,0,0,,0,,0,20220909,0,,행궁동,8
55,경기도 수원시 팔달구 팔달로1가 50번지,41115,12000,0,50,0,1.08E+13,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로800번길 16 (팔달로1가),,,,,1,4.11E+11,12001,0,16,0,,0,주건축물,170,128.61,75.65,329.56,329.56,193.86,21,철근콘크리트구조,철근콘크리트구조,4000,제2종근린생활시설,제2종근린생활시설,10,(철근)콘크리트,(철근)콘크리트,0,0,10.9,3,0,0,0,0,0,329.56,0,0,0,0,2,23,0,0,20160111,20160429,20160912,2016,3770030,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,0,,행궁동,2
65,경기도 수원시 팔달구 팔달로1가 68번지,41115,12000,0,68,0,1.00E+21,1,일반,2,일반건축물,경기도 수원시 팔달구 팔달문로3번길 31 (팔달로1가),팔달상가,,,,1,4.11E+11,12001,0,31,0,,0,주건축물,180,127.48,70.82,127.48,127.48,70.82,31,일반철골구조,일반철골구조,3000,제1종근린생활시설,"휴게음식점, 소매점,제2근린생활시설(일반음식점)",90,기타지붕,"경사지붕, 금속기와",0,0,5.8,1,0,0,0,0,0,127.48,0,0,0,0,0,0,1,12.5,20230314,20230715,20231205,2023,3770030,건축과,1101,신축허가,3,,0,0,,0,,0,20231214,1,Ⅶ - 0.168g,행궁동,1
72,경기도 수원시 팔달구 팔달로1가 74번지,41115,12000,0,74,0,10841168225,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로801번길 10 (팔달로1가),,,,,0,4.11E+11,12001,0,10,,B동,0,주건축물,0,117.79,0,311.17,229.19,0,21,철근콘크리트구조,철근콘크리트구조,4000,제2종근린생활시설,근린생활시설,10,(철근)콘크리트,(철근)콘크리트,0,0,9,2,1,0,0,0,0,311.17,0,0,0,0,1,11.5,0,0,19781216,,19790723,2006,3770030,건축과,1108,용도변경허가,0,,0,0,,0,,0,20220909,0,,행궁동,1
