대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력,변환_행정동
경기도 수원시 권선구 세류동 42번지,41113,12600,0,42,0,10841101245.0,1,일반,2,일반건축물,,,,,,0,,,0,,,,0,주건축물,0.0,35.04,0.0,35.04,35.04,0.0,12.0,블록구조,세멘부록크조,01000,단독주택,주택,20.0,기와,스렛트가,0,1,0.0,1,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,19660523.0,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,매핑실패
경기도 수원시 권선구 세류동 42-5번지,41113,12600,0,42,5,1084192096.0,1,일반,2,일반건축물,,,,,,0,,,0,,,,0,주건축물,0.0,62.14,0.0,122.3,122.3,0.0,21.0,철근콘크리트구조,"라멘조, 연와조",01000,단독주택,"주택, 점포",10.0,(철근)콘크리트,스라부즙,0,1,0.0,2,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19720504,,19720918.0,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,매핑실패
경기도 수원시 권선구 세류동 42-13번지,41113,12600,0,42,13,1084197651.0,1,일반,2,일반건축물,,,,,,0,,,0,,,,0,주건축물,0.0,130.68,0.0,392.04,261.36,0.0,21.0,철근콘크리트구조,라멘조,03000,제1종근린생활시설,"다방, 당구장, 소매점",10.0,(철근)콘크리트,스라브,0,0,0.0,2,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19850618,,19851224.0,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,매핑실패
경기도 수원시 권선구 세류동 42-36번지,41113,12600,0,42,36,10841101108.0,1,일반,2,일반건축물,,,,,,0,,,0,,,,0,주건축물,0.0,37.81,0.0,37.81,37.81,0.0,19.0,기타조적구조,토벽조,01000,단독주택,주택,90.0,기타지붕,"와즙, 평가건",0,1,0.0,1,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19690521,,19690630.0,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,매핑실패
경기도 수원시 권선구 세류동 63번지,41113,12600,0,63,0,1084184231.0,1,일반,2,일반건축물,경기도 수원시 권선구 세류로 78 (세류동),세류초등학교,,,,11,411133000000.0,12601.0,0,78.0,,,0,주건축물,19858.0,4439.5,22.36,11699.74,11415.29,57.48,21.0,철근콘크리트구조,철근콘크리트조,,,"교육연구시설(교사 1,2호동), 다목적교실(체육관)",10.0,(철근)콘크리트,스라브,0,0,17.75,4,0,1,0,0,0.0,11699.74,0,0.0,0,0.0,0,0.0,47,540.5,,,,,,,,,0,,0.0,0.0,,0.0,,0,20230817,0.0,,세류1동
경기도 수원시 권선구 세류동 70-7번지,41113,12600,0,70,7,1084185731.0,1,일반,2,일반건축물,,,,,,0,,,0,,,,0,주건축물,0.0,70.94,0.0,70.94,70.94,0.0,51.0,일반목구조,목조,01000,단독주택,주택,20.0,기와,"와즙, 세멘부록크와즙, 평가건",0,1,0.0,1,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,19600909.0,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,매핑실패
경기도 수원시 권선구 세류동 70-11번지,41113,12600,0,70,11,1084185808.0,1,일반,2,일반건축물,,,,,,0,,,0,,,,0,주건축물,161.2,84.25,52.26,165.04,165.04,102.38,11.0,벽돌구조,연와조,01000,단독주택,주택,10.0,(철근)콘크리트,스라브,0,1,4.3,2,0,0,0,1,1.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19830630,,19831021.0,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,매핑실패
경기도 수원시 권선구 세류동 70-13번지,41113,12600,0,70,13,1084190686.0,1,일반,2,일반건축물,,,,,,0,,,0,,,,0,주건축물,0.0,42.58,0.0,42.58,42.58,0.0,11.0,벽돌구조,세멘벽돌조,17000,공장,공장,20.0,기와,"와즙, 평가건",0,0,0.0,1,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,19620710.0,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,매핑실패
경기도 수원시 권선구 세류동 71-1번지,41113,12600,0,71,1,1084184234.0,1,일반,2,일반건축물,,,,,,0,,,0,,,,0,주건축물,0.0,32.66,0.0,32.66,32.66,0.0,51.0,일반목구조,목조,01000,단독주택,주택,90.0,기타지붕,"초즙, 평가건",0,1,0.0,1,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,19540901.0,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,매핑실패
경기도 수원시 권선구 세류동 71-1번지,41113,12600,0,71,1,1084184235.0,1,일반,2,일반건축물,,,,,,0,,,0,,,,0,주건축물,0.0,40.36,0.0,40.36,40.36,0.0,51.0,일반목구조,목조,01000,단독주택,주택,90.0,기타지붕,"초즙, 평가건",0,1,0.0,1,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,1935.0,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,매핑실패
경기도 수원시 권선구 세류동 72-2번지,41113,12600,0,72,2,1084199698.0,1,일반,2,일반건축물,,,,,,0,,,0,,,,0,주건축물,0.0,59.5,0.0,59.5,59.5,0.0,11.0,벽돌구조,세멘벽돌조,01000,단독주택,주택,20.0,기와,세멘와즙,0,1,0.0,1,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,19710108.0,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,매핑실패
경기도 수원시 권선구 세류동 73번지,41113,12600,0,73,0,1084191086.0,1,일반,2,일반건축물,,,,,,0,,,0,,,,0,주건축물,0.0,58.64,0.0,58.64,58.64,0.0,51.0,일반목구조,목조,01000,단독주택,주택,20.0,기와,"와즙, 평가건",0,1,0.0,1,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,19400602.0,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,매핑실패
경기도 수원시 권선구 세류동 75-4번지,41113,12600,0,75,4,1084197013.0,1,일반,2,일반건축물,,,,,,0,,,0,,,,0,주건축물,0.0,50.78,0.0,50.78,50.78,0.0,51.0,일반목구조,목조,01000,단독주택,주택,20.0,기와,"와즙, 평가건",0,1,0.0,1,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19680229,,19680524.0,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,매핑실패
경기도 수원시 권선구 세류동 75-8번지,41113,12600,0,75,8,10841100769.0,1,일반,2,일반건축물,경기도 수원시 권선구 효원로 92 (세류동),,,,,2,411133000000.0,12601.0,0,92.0,,,0,주건축물,0.0,41.85,0.0,41.85,41.85,0.0,51.0,일반목구조,목조,01000,단독주택,주택,20.0,기와,"와즙, 평가건",0,1,0.0,1,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19680904,,19690225.0,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,매핑실패
경기도 수원시 권선구 세류동 75-9번지,41113,12600,0,75,9,1084194083.0,1,일반,2,일반건축물,,,,,,0,,,0,,,,0,주건축물,0.0,47.64,0.0,47.64,47.64,0.0,51.0,일반목구조,목조,01000,단독주택,주택,20.0,기와,"와즙, 평가건",0,1,0.0,1,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19680904,,19690225.0,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,매핑실패
경기도 수원시 권선구 세류동 75-11번지,41113,12600,0,75,11,1084193572.0,1,일반,2,일반건축물,,,,,,0,,,0,,,,0,주건축물,0.0,42.58,0.0,42.58,42.58,0.0,51.0,일반목구조,목조,01000,단독주택,주택,20.0,기와,"와즙, 평가건",0,1,0.0,1,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19680904,,19751202.0,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,매핑실패
경기도 수원시 권선구 세류동 75-15번지,41113,12600,0,75,15,10841101249.0,1,일반,2,일반건축물,,,,,,0,,,0,,,,0,주건축물,0.0,0.0,0.0,19.76,0.0,0.0,12.0,블록구조,세멘부럭조,01000,단독주택,주택,30.0,슬레이트,스레트,0,0,0.0,1,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19721018,,19751023.0,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,매핑실패
경기도 수원시 권선구 세류동 80-4번지,41113,12600,0,80,4,1084187095.0,1,일반,2,일반건축물,,,,,,0,,,0,,,,0,주건축물,0.0,38.12,0.0,38.12,38.12,0.0,19.0,기타조적구조,토벽조,01000,단독주택,주택,30.0,슬레이트,"스렛트즙, 평가건",0,1,0.0,1,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19680511,,,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,세류3동
경기도 수원시 권선구 세류동 82-4번지,41113,12600,0,82,4,10841100000000.0,1,일반,2,일반건축물,경기도 수원시 권선구 권선로537번길 40 (세류동),,,,,0,411134000000.0,12601.0,0,40.0,,,0,주건축물,209.0,125.19,59.89,410.3,410.3,196.32,21.0,철근콘크리트구조,철근콘크리트구조,01000,단독주택,"다가구주택, 근린생활시설",10.0,(철근)콘크리트,(철근)콘크리트,0,5,13.65,4,0,1,0,0,0.0,410.3,0,0.0,0,0.0,0,0.0,5,57.5,20170209,20180205,20180828.0,2017.0,3760030.0,건축과,1101.0,신축허가,1,,0.0,0.0,,0.0,,0,20220909,1.0,,세류3동
경기도 수원시 권선구 세류동 82-12번지,41113,12600,0,82,12,1084196015.0,1,일반,2,일반건축물,경기도 수원시 권선구 권선로545번길 21-5 (세류동),,,,,0,411134000000.0,12601.0,0,21.0,5.0,,0,주건축물,119.0,71.13,59.77,197.73,197.73,166.16,11.0,벽돌구조,연와조,01000,단독주택,주택(5가구),10.0,(철근)콘크리트,스라브,0,5,10.3,3,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1,11.5,19960209,19960312,19960628.0,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,세류3동
경기도 수원시 권선구 세류동 82-15번지,41113,12600,0,82,15,1084193393.0,1,일반,2,일반건축물,경기도 수원시 권선구 권선로537번길 26-7 (세류동),,,,,0,411134000000.0,12601.0,0,26.0,7.0,,0,주건축물,118.0,70.52,59.76,199.31,185.71,157.38,11.0,벽돌구조,연와조,01000,단독주택,주택 5가구,10.0,(철근)콘크리트,스라브,0,5,9.6,3,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19930624,19930730,19931221.0,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,세류3동
