대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력,변환_행정동
경기도 수원시 장안구 파장동 15-2번지,41111,12900,0,15,2,108417420,1,일반,2,일반건축물,,,,,,0,,,0,,,,0,주건축물,0,0,0,38.02,0,0,11,벽돌구조,세멘벽돌조,3000,제1종근린생활시설,제1종근린생활시설,20,기와,세멘와가,0,0,0,1,0,0,0,0,0,38.02,0,0,0,0,0,0,0,0,,,19711029,,,,,,0,,0,0,,0,,0,20220909,0,,파장동
경기도 수원시 장안구 파장동 16번지,41111,12900,0,16,0,1084116427,1,일반,2,일반건축물,경기도 수원시 장안구 경수대로1220번길 30-97 (파장동),,,,,0,4.11114E+11,12901,0,30,97,,0,주건축물,0,1001.76,0,1808.36,1808.36,0,21,철근콘크리트구조,철근콘크리트조,3000,제1종근린생활시설,제1종근린생활시설,10,(철근)콘크리트,스라브,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,        ,,19811130,,,,,,0,,0,0,,0,,0,20220909,0,,파장동
경기도 수원시 장안구 파장동 16번지,41111,12900,0,16,0,108415494,1,일반,2,일반건축물,경기도 수원시 장안구 경수대로1220번길 30-97 (파장동),,,,,0,4.11114E+11,12901,0,30,97,,0,주건축물,0,95.87,0,191.74,191.74,0,21,철근콘크리트구조,철근콘크리트조,3000,제1종근린생활시설,근린생활시설,10,(철근)콘크리트,스라브,0,0,0,2,0,0,0,0,0,191.74,0,0,0,0,0,0,0,0,,,19811030,,,,,,0,,0,0,,0,,0,20220909,0,,파장동
경기도 수원시 장안구 파장동 16번지,41111,12900,0,16,0,1084114059,1,일반,2,일반건축물,경기도 수원시 장안구 경수대로1220번길 30-97 (파장동),파장정수장,,,,0,4.11114E+11,12901,0,30,97,,0,주건축물,30771,312,1.01,624,624,2.03,21,철근콘크리트구조,R.C조,3000,제1종근린생활시설,제1종근린생활시설(정수장),10,(철근)콘크리트,스라브,0,0,11.3,2,0,0,0,0,0,624,0,0,0,0,0,0,0,0,19941212,19950407,19950629,,,,,,0,,0,0,,0,,0,20220909,0,,파장동
경기도 수원시 장안구 파장동 16번지,41111,12900,0,16,0,108416332,1,일반,2,일반건축물,경기도 수원시 장안구 경수대로1220번길 30-97 (파장동),,,,,0,4.11114E+11,12901,0,30,97,,0,주건축물,0,72.13,0,72.13,72.13,0,21,철근콘크리트구조,철근콘크리트조,3000,제1종근린생활시설,제1종근린생활시설,10,(철근)콘크리트,스라브,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,19811030,,,,,,0,,0,0,,0,,0,20220909,0,,파장동
경기도 수원시 장안구 파장동 16번지,41111,12900,0,16,0,1084114060,1,일반,2,일반건축물,경기도 수원시 장안구 경수대로1220번길 30-97 (파장동),,,,,0,4.11114E+11,12901,0,30,97,,0,주건축물,0,0,0,152,0,0,21,철근콘크리트구조,철근콘크리트조,3000,제1종근린생활시설,제1종근린생활시설,10,(철근)콘크리트,스라브,0,0,0,1,0,0,0,0,0,152,0,0,0,0,0,0,0,0,,,19811030,,,,,,0,,0,0,,0,,0,20220909,0,,파장동
경기도 수원시 장안구 파장동 16번지,41111,12900,0,16,0,1084115421,1,일반,2,일반건축물,경기도 수원시 장안구 경수대로1220번길 30-97 (파장동),,,,,0,4.11114E+11,12901,0,30,97,,0,주건축물,1951,163.8,8.39,459.9,327.6,16.79,21,철근콘크리트구조,라멘조,3000,제1종근린생활시설,제1종근린생활시설,10,(철근)콘크리트,스라브,0,0,12,2,1,0,0,0,0,459.9,0,0,0,0,0,0,0,0,19931231,19931231,19940831,,,,,,0,,0,0,,0,,0,20220909,0,,파장동
경기도 수원시 장안구 파장동 16-20번지,41111,12900,0,16,20,108418153,1,일반,2,일반건축물,,,,,,0,,,0,,,,0,주건축물,30.771,20,4.74,20,20,9.33,19,기타조적구조,조적조,3000,제1종근린생활시설,제1종근린생활시설,10,(철근)콘크리트,스라브,0,0,3.8,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,19920924,19921110,19930304,,,,,,0,,0,0,,0,,0,20220909,0,,매핑실패
경기도 수원시 장안구 파장동 19-4번지,41111,12900,0,19,4,1.08411E+13,1,일반,2,일반건축물,경기도 수원시 장안구 경수대로1220번길 30-78 (파장동),1,,,,0,4.11114E+11,12901,0,30,78,1,0,주건축물,1923,362.96,18.87,1492.73,1368.41,71.16,31,일반철골구조,일반철골구조,11000,노유자시설,노인복지시설,10,(철근)콘크리트,(철근)콘크리트,0,0,19.6,4,1,1,0,0,0,1492.73,0,0,0,0,0,0,8,100,20020725,20070210,20071121,2002,3750002,생활민원과,1101,신축허가,0,,0,0,,0,,0,20220909,0,,파장동
경기도 수원시 장안구 파장동 19-18번지,41111,12900,0,19,18,1.08411E+13,1,일반,2,일반건축물,경기도 수원시 장안구 경수대로1220번길 30-76 (파장동),,,,,0,4.11114E+11,12901,0,30,76,,0,주건축물,1653,325.2,19.67,794,794,48.03,21,철근콘크리트구조,철근콘크리트구조,3000,제1종근린생활시설,"제1,2종근린생활시설,단독주택(1가구)",10,(철근)콘크리트,(철근)콘크리트,0,1,14.4,3,0,0,0,0,0,794,0,0,0,0,0,0,7,80.5,20120420,20120522,20121107,2012,3750028,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,0,,파장동
경기도 수원시 장안구 파장동 20번지,41111,12900,0,20,0,1084112733,1,일반,2,일반건축물,경기도 수원시 장안구 경수대로1220번길 30-71 (파장동),,,,,0,4.11114E+11,12901,0,30,71,,0,주건축물,1770,184.53,10.43,176.13,176.13,9.95,21,철근콘크리트구조,철근콘크리트조,1000,단독주택,단독주택,10,(철근)콘크리트,경사스라브,0,1,4.7,1,0,0,0,0,0,0,0,0,0,0,0,0,2,23,20000212,20020208,20030619,,,,,,0,,0,0,,0,,0,20220909,0,,파장동
경기도 수원시 장안구 파장동 21-5번지,41111,12900,0,21,5,108415004,1,일반,2,일반건축물,경기도 수원시 장안구 경수대로1220번길 30-69 (파장동),솔밭가든,,,,0,4.11114E+11,12901,0,30,69,,0,주건축물,1931,385.66,19.97,354.52,354.52,18.36,21,철근콘크리트구조,철근콘크리트조,4000,제2종근린생활시설,제2종근린생활시설,10,(철근)콘크리트,경사스라브,0,0,5.8,1,0,0,0,0,0,354.52,0,0,0,0,0,0,3,34.5,20000212,20000406,20000927,,,,,,0,,0,0,,0,,0,20220909,0,,파장동
