대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력,변환_행정동
경기도 수원시 팔달구 팔달로1가 5-1번지,41115,12000,0,5,1,10841186356.0,1,일반,2,일반건축물,경기도 수원시 팔달구 창룡대로8번길 2 (팔달로1가),,,,,0,411154000000.0,12001.0,0.0,2.0,0.0,,0,주건축물,283.6,255.77,90.19,901.94,743.2,262.06,21,철근콘크리트구조,철근콘크리트조,3000,제1종근린생활시설,근린생활시설,10.0,(철근)콘크리트,슬라브,0,0,8.3,3,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19650520,,19691004,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,행궁동
경기도 수원시 팔달구 팔달로1가 5-2번지,41115,12000,0,5,2,10841176719.0,1,일반,2,일반건축물,경기도 수원시 팔달구 창룡대로8번길 6 (팔달로1가),,,,,0,411154000000.0,12001.0,0.0,6.0,0.0,,0,주건축물,165.6,111.8,67.51,120.4,111.8,67.51,11,벽돌구조,시멘트벽돌조,3000,제1종근린생활시설,근린생활시설,10.0,(철근)콘크리트,슬라브,0,1,0.0,1,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,19680805,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,행궁동
경기도 수원시 팔달구 팔달로1가 5-3번지,41115,12000,0,5,3,10841183979.0,1,일반,2,일반건축물,경기도 수원시 팔달구 창룡대로8번길 8 (팔달로1가),,,,,0,411154000000.0,12001.0,0.0,8.0,,,0,주건축물,169.3,131.57,77.71,466.48,365.52,215.9,21,철근콘크리트구조,라멘조,4000,제2종근린생활시설,"제2종근린생활시설, 제1종근린생활시설",10.0,(철근)콘크리트,슬라브,0,0,0.0,3,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19810415,,19811026,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,행궁동
경기도 수원시 팔달구 팔달로1가 5-4번지,41115,12000,0,5,4,10841185213.0,1,일반,2,일반건축물,경기도 수원시 팔달구 창룡대로8번길 10 (팔달로1가),,,,,0,411154000000.0,12001.0,0.0,10.0,0.0,제1동,0,주건축물,218.8,171.33,78.3044,652.9,491.25,224.5201,21,철근콘크리트구조,라멘조,4000,제2종근린생활시설,"근린생활시설, 주택",10.0,(철근)콘크리트,슬라브,0,1,0.0,3,1,0,0,0,0.0,652.9,0,0.0,0,0.0,0,0.0,0,0.0,19820504,,19821018,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,행궁동
경기도 수원시 팔달구 팔달로1가 5-6번지,41115,12000,0,5,6,10841100000000.0,2,집합,3,표제부,경기도 수원시 팔달구 창룡대로 4-9 (팔달로1가),시우빌,,,,0,411152000000.0,12001.0,0.0,4.0,9.0,,0,주건축물,272.1,181.12,66.56,671.64,671.64,246.84,21,철근콘크리트구조,철근콘크리트구조,2000,공동주택,공동주택(다세대주택),10.0,(철근)콘크리트,(철근)콘크리트,28,0,14.9,5,0,1,0,0,0.0,667.64,0,0.0,0,0.0,5,57.5,0,0.0,20121102,20121106,20130506,2012,3770030.0,건축과,1101.0,신축허가,1,,0.0,0.0,,0.0,,0,20220909,0.0,,행궁동
경기도 수원시 팔달구 팔달로1가 5-8번지,41115,12000,0,5,8,10841177008.0,1,일반,2,일반건축물,경기도 수원시 팔달구 창룡대로 4-5 (팔달로1가),,,,,0,411152000000.0,12001.0,0.0,4.0,5.0,,0,주건축물,247.9,143.83,58.02,177.22,163.17,65.82,21,철근콘크리트구조,철근콘크리트조,3000,제1종근린생활시설,근린생활시설,10.0,(철근)콘크리트,슬라브,0,1,7.0,2,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19710615,,19720622,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,행궁동
경기도 수원시 팔달구 팔달로1가 5-9번지,41115,12000,0,5,9,10841172912.0,1,일반,2,일반건축물,경기도 수원시 팔달구 창룡대로 4-3 (팔달로1가),,,,,0,411152000000.0,12001.0,0.0,4.0,3.0,,0,주건축물,136.2,33.79,24.81,33.79,33.79,24.81,51,일반목구조,목조,3000,제1종근린생활시설,근린생활시설,20.0,기와,와즙평가건,0,0,0.0,1,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,행궁동
경기도 수원시 팔달구 팔달로1가 5-10번지,41115,12000,0,5,10,10841181302.0,1,일반,2,일반건축물,경기도 수원시 팔달구 창룡대로 4-7 (팔달로1가),,,,,0,411152000000.0,12001.0,0.0,4.0,7.0,,0,주건축물,83.0,74.18,89.37,194.53,194.53,234.37,21,철근콘크리트구조,철근콘크리트조,1000,단독주택,단독주택(다가구주택-3가구),10.0,(철근)콘크리트,슬라브,0,3,0.0,3,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,19710831,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,행궁동
경기도 수원시 팔달구 팔달로1가 5-11번지,41115,12000,0,5,11,10841170140.0,1,일반,2,일반건축물,경기도 수원시 팔달구 창룡대로 4-1 (팔달로1가),,,,,0,411152000000.0,12001.0,0.0,4.0,1.0,,0,주건축물,99.8,58.84,58.96,58.84,58.84,58.96,51,일반목구조,목조,4000,제2종근린생활시설,근린생활시설,20.0,기와,와즙평가건,0,0,0.0,1,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,행궁동
경기도 수원시 팔달구 팔달로1가 6-1번지,41115,12000,0,6,1,10841100000000.0,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로 824 (팔달로1가),,,,,0,411153000000.0,12001.0,0.0,824.0,,,0,주건축물,1013.6,163.74,16.15,70.56,70.56,6.96,51,일반목구조,일반목구조,27000,관광휴게시설,관광휴게시설(공원부수시설),20.0,기와,기와,0,0,13.3,1,0,0,0,0,0.0,70.56,0,0.0,0,0.0,0,0.0,0,0.0,,,20081031,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,행궁동
경기도 수원시 팔달구 팔달로1가 6-4번지,41115,12000,0,6,4,10841183199.0,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로 820 (팔달로1가),,,,,0,411153000000.0,12001.0,0.0,820.0,0.0,,0,주건축물,715.6,513.55,71.76,2537.35,1489.49,208.15,21,철근콘크리트구조,철근콘크리트조,4000,제2종근린생활시설,제2종근린생활시설,10.0,(철근)콘크리트,평 스라브,0,0,17.1,3,2,1,0,0,0.0,0.0,0,0.0,0,0.0,22,793.87,0,0.0,19960222,19960228,19971215,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,행궁동
경기도 수원시 팔달구 팔달로1가 7-1번지,41115,12000,0,7,1,10841182218.0,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로810번길 7-15 (팔달로1가),,,,,0,411154000000.0,12001.0,0.0,7.0,15.0,,0,주건축물,146.4,115.87,79.15,463.48,347.61,237.44,21,철근콘크리트구조,철근콘크리트조,4000,제2종근린생활시설,"근린생활시설, 위락시설",10.0,(철근)콘크리트,슬라브,0,0,10.1,3,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19800429,,19801010,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,행궁동
경기도 수원시 팔달구 팔달로1가 7-2번지,41115,12000,0,7,2,10841174474.0,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로 818 (팔달로1가),,,,,0,411153000000.0,12001.0,0.0,818.0,,,0,주건축물,279.3,243.34,87.12,951.14,730.02,261.37,21,철근콘크리트구조,라멘조,4000,제2종근린생활시설,근린생활시설,10.0,(철근)콘크리트,슬라브,0,0,0.0,3,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19810309,,19810826,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,행궁동
경기도 수원시 팔달구 팔달로1가 7-3번지,41115,12000,0,7,3,1e+21,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로810번길 7-13 (팔달로1가),,,,,0,411154000000.0,12001.0,0.0,7.0,13.0,주건축물제1동,0,주건축물,109.8,81.78,74.48,311.63,311.63,283.82,21,철근콘크리트구조,철근콘크리트구조,4000,제2종근린생활시설,사무소,10.0,(철근)콘크리트,(철근)콘크리트,0,0,16.45,5,0,1,0,0,0.0,311.63,0,0.0,0,0.0,2,25.0,0,0.0,20240304,20240429,20240913,2024,3770030.0,건축과,1101.0,신축허가,0,,0.0,0.0,,0.0,,0,20240919,1.0,VII-0.170g,행궁동
경기도 수원시 팔달구 팔달로1가 7-4번지,41115,12000,0,7,4,10841169519.0,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로 816 (팔달로1가),,,,,1,411153000000.0,12001.0,0.0,816.0,0.0,,0,주건축물,0.0,72.13,0.0,72.13,72.13,0.0,11,벽돌구조,연와조,4000,제2종근린생활시설,근린생활시설,90.0,기타지붕,"콩크리트즙평가건, 스라부(사무실)",0,0,0.0,1,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,19581210,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,행궁동
경기도 수원시 팔달구 팔달로1가 7-4번지,41115,12000,0,7,4,10841169521.0,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로 816 (팔달로1가),,,,,0,411153000000.0,12001.0,0.0,816.0,0.0,,0,주건축물,87.9,36.0,40.96,36.0,36.0,40.96,32,경량철골구조,조립식판넬,4000,제2종근린생활시설,근린생활시설,90.0,기타지붕,조립식판넬,0,0,3.8,1,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19980813,19980821,19980831,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,행궁동
경기도 수원시 팔달구 팔달로1가 7-4번지,41115,12000,0,7,4,10841169518.0,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로 816 (팔달로1가),,,,,0,411153000000.0,12001.0,0.0,816.0,0.0,,0,주건축물,87.9,37.72,42.91,37.72,37.72,42.91,11,벽돌구조,시멘트벽돌조,1000,단독주택,주택,20.0,기와,와즙평가건,0,1,0.0,1,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,19610315,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,행궁동
경기도 수원시 팔달구 팔달로1가 7-4번지,41115,12000,0,7,4,10841169520.0,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로 816 (팔달로1가),,,,,1,411153000000.0,12001.0,0.0,816.0,0.0,,0,주건축물,0.0,11.9,0.0,11.9,11.9,0.0,11,벽돌구조,시멘트벽돌조,4000,제2종근린생활시설,사무실,10.0,(철근)콘크리트,슬라브,0,0,0.0,1,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19700519,,19701216,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,행궁동
경기도 수원시 팔달구 팔달로1가 7-6번지,41115,12000,0,7,6,10841178564.0,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로 814-1 (팔달로1가),,,,,0,411153000000.0,12001.0,0.0,814.0,1.0,,0,주건축물,356.1,186.9,52.49,503.02,413.04,115.99,21,철근콘크리트구조,철근콘크리트조,3000,제1종근린생활시설,근린생활시설,10.0,(철근)콘크리트,슬라브,0,0,0.0,4,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19730814,,19731217,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,행궁동
경기도 수원시 팔달구 팔달로1가 7-8번지,41115,12000,0,7,8,10841175240.0,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로810번길 5 (팔달로1가),,,,,0,411154000000.0,12001.0,0.0,5.0,0.0,,0,주건축물,163.0,109.35,67.09,328.05,328.05,201.26,31,일반철골구조,철골조,4000,제2종근린생활시설,"제1종근린생활시설, 제2종근린생활시설",10.0,(철근)콘크리트,평슬라브,0,0,10.95,3,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,2,23.0,20010626,20010711,20011030,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,행궁동
경기도 수원시 팔달구 팔달로1가 7-9번지,41115,12000,0,7,9,10841170717.0,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로 810 (팔달로1가),,,,,0,411153000000.0,12001.0,0.0,810.0,0.0,,0,주건축물,92.9,75.37,81.13,244.58,213.41,229.72,21,철근콘크리트구조,철근콘크리트조,3000,제1종근린생활시설,근린생활시설,10.0,(철근)콘크리트,슬라브,0,0,0.0,3,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,19630920,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,행궁동
경기도 수원시 팔달구 팔달로1가 7-11번지,41115,12000,0,7,11,10841171405.0,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로 812 (팔달로1가),,,,,1,411153000000.0,12001.0,0.0,812.0,,,0,주건축물,409.6,287.18,70.11,1661.6,1391.8,339.79,21,철근콘크리트구조,철근콘크리트구조,11000,노유자시설,노유자시설(노인복지시설),10.0,(철근)콘크리트,(철근)콘크리트 슬라브,0,0,21.8,6,1,1,0,0,0.0,1661.6,0,0.0,0,0.0,0,0.0,1,16.5,19860328,,19861125,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,행궁동
경기도 수원시 팔달구 팔달로1가 7-12번지,41115,12000,0,7,12,10841187728.0,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로 814 (팔달로1가),,,,,0,411153000000.0,12001.0,0.0,814.0,0.0,,0,주건축물,81.7,68.03,83.27,127.67,127.67,156.27,21,철근콘크리트구조,철근콘크리트조,1000,단독주택,"근린생활시설, 주택",10.0,(철근)콘크리트,슬라브,0,1,0.0,2,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,19711130,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,행궁동
경기도 수원시 팔달구 팔달로1가 8-2번지,41115,12000,0,8,2,10841187942.0,1,일반,2,일반건축물,경기도 수원시 팔달구 창룡대로8번길 18 (팔달로1가),,,,,0,411154000000.0,12001.0,0.0,18.0,0.0,,0,주건축물,105.8,94.21,89.05,285.605,279.855,264.51,21,철근콘크리트구조,콘크리트.라멘조,4000,제2종근린생활시설,근린생활시설,10.0,(철근)콘크리트,슬라브,0,0,8.6,3,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19700519,,19701029,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,행궁동
