대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력
경기도 수원시 영통구 매탄동 1-1번지,41117,10100,0,0001,0001,10841100294730,1,일반,2,일반건축물,경기도 수원시 영통구 중부대로 384 (매탄동),매탄동 고속주유소,,,,0,411172012012,10101,0,384,0,3동,0,주건축물,3480,103.5,2.97,103.5,103.5,2.97,31,일반철골구조,일반철골구조,19000,위험물저장및처리시설,위험물저장및처리시설(자동세차기),10,(철근)콘크리트,평스라브,0,0,5.6,1,0,0,0,0,0,103.5,0,0,0,0,0,0,0,0,20130404,20130417,20140117,2013,5610006,건축과,1102,증축허가,0,,0,0,,0,,0,20220909,1,
경기도 수원시 영통구 매탄동 1-1번지,41117,10100,0,0001,0001,10841100294728,1,일반,2,일반건축물,경기도 수원시 영통구 중부대로 384 (매탄동),매탄동 고속주유소,,,,0,411172012012,10101,0,384,0,1동,0,주건축물,3480,366.48,10.53,449.06,449.06,12.9,41,철골콘크리트구조,철근콘크리트구조,19000,위험물저장및처리시설,"위험물저장및처리시설,제1종근린생활시설",10,(철근)콘크리트,평스라브,0,0,7.75,2,0,0,0,0,0,449.06,0,0,0,0,0,0,0,0,20130404,20130417,20140117,2013,5610006,건축과,1102,증축허가,0,,0,0,,0,,0,20220909,1,
경기도 수원시 영통구 매탄동 1-1번지,41117,10100,0,0001,0001,10841100342541,1,일반,2,일반건축물,경기도 수원시 영통구 중부대로 384 (매탄동),매탄동 고속주유소,,,,0,411172012012,10101,0,384,0,4동,0,주건축물,0,229.92,0,229.92,229.92,0,33,강파이프구조,강파이프구조,20000,자동차관련시설,자동차관련시설(세차장),90,기타지붕,기타지붕,0,0,3.9,1,0,0,0,0,0,229.92,0,0,0,0,0,0,0,0,20151110,20151112,20160309,2015,5610006,건축과,1102,증축허가,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 매탄동 1-1번지,41117,10100,0,0001,0001,10841100294729,1,일반,2,일반건축물,경기도 수원시 영통구 중부대로 384 (매탄동),매탄동 고속주유소,,,,0,411172012012,10101,0,384,0,2동,0,주건축물,0,214.4,0,285.6,285.6,0,31,일반철골구조,일반철골구조,04000,제2종근린생활시설,제2종근린생활시설(수리점),10,(철근)콘크리트,(철근)콘크리트,0,0,8.1,2,0,0,0,0,0,285.6,0,0,0,0,0,0,0,0,20130404,20130417,20140117,2013,5610006,건축과,1102,증축허가,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 매탄동 1-5번지,41117,10100,0,0001,0005,10841100341931,2,집합,3,표제부,경기도 수원시 영통구 중부대로 390 (매탄동),,,,,1,411172012012,10101,0,390,0,,0,주건축물,2743,1501.54,54.74,9301.72,4921.04,179.4,21,철근콘크리트구조,철근콘크리트구조,05000,문화및집회시설,"문화및집회시설(전시장),판매시설(상점)",10,(철근)콘크리트,(철근)콘크리트,0,0,21.5,4,2,3,0,0,0,9301.72,0,0,0,0,82,3619.34,0,0,20140612,20141223,20160222,,,,,,12,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 매탄동 28-4번지,41117,10100,0,0028,0004,10841236990,1,일반,2,일반건축물,,,,,,0,,,0,,,,0,주건축물,0,45.36,0,45.36,45.36,0,12,블록구조,시멘트블록조,01000,단독주택,주택.점포,20,기와,세멘즙평가건,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19731023,,19731206,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 매탄동 29번지,41117,10100,0,0029,0000,10841236991,1,일반,2,일반건축물,,,,,,0,,,0,,,,0,주건축물,0,54.41,0,54.41,54.41,0,12,블록구조,블록조,01000,단독주택,주택,90,기타지붕,초가,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,197201  ,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 매탄동 30-1번지,41117,10100,0,0030,0001,10841236992,1,일반,2,일반건축물,,,,,,0,,,0,,,,0,주건축물,0,47.09,0,47.09,47.09,0,12,블록구조,블록조,01000,단독주택,주택,20,기와,기와,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,196910  ,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 매탄동 50번지,41117,10100,0,0050,0000,10841239808,2,집합,3,표제부,경기도 수원시 영통구 매봉로27번길 11 (매탄동),극동아파트,,,,0,411174331034,10101,0,11,,제105동,0,주건축물,0,240.6,0,1739.73,1553.24,0,21,철근콘크리트구조,철근콘크리트조,02000,공동주택,공동주택(아파트),10,(철근)콘크리트,박공평스라브,16,0,21.6,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19970303,19970411,19981030,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 매탄동 50번지,41117,10100,0,0050,0000,10841239805,2,집합,3,표제부,경기도 수원시 영통구 매봉로27번길 11 (매탄동),극동아파트,,,,0,411174331034,10101,0,11,,제103동,0,주건축물,0,481.2,0,4232.04,3877.92,0,21,철근콘크리트구조,철근콘크리트조,02000,공동주택,공동주택(아파트),10,(철근)콘크리트,박공평스라브,40,0,26.8,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,19970303,19970411,19981030,,,,,,0,,0,0,,0,,0,20220909,0,
